threshold,precision,recall,f1,tp,fn,fp,tn
1.0,1.0,0.211667,0.349381,127,473,0,120
1.0,1.0,0.213333,0.351648,128,472,0,120
1.0,1.0,0.213333,0.351648,128,472,0,120
1.0,1.0,0.216667,0.356164,130,470,0,120
1.0,1.0,0.218333,0.358413,131,469,0,120
1.0,1.0,0.218333,0.358413,131,469,0,120
1.0,1.0,0.22,0.360656,132,468,0,120
1.0,1.0,0.223333,0.365123,134,466,0,120
1.0,1.0,0.225,0.367347,135,465,0,120
1.0,1.0,0.225,0.367347,135,465,0,120
0.999999,1.0,0.226667,0.369565,136,464,0,120
0.999999,1.0,0.23,0.373984,138,462,0,120
0.999999,1.0,0.23,0.373984,138,462,0,120
0.999999,1.0,0.231667,0.376184,139,461,0,120
0.999999,1.0,0.233333,0.378378,140,460,0,120
0.999999,1.0,0.236667,0.382749,142,458,0,120
0.999999,1.0,0.238333,0.384926,143,457,0,120
0.999999,1.0,0.238333,0.384926,143,457,0,120
0.999999,1.0,0.24,0.387097,144,456,0,120
0.999999,1.0,0.241667,0.389262,145,455,0,120
0.999999,1.0,0.245,0.393574,147,453,0,120
0.999999,1.0,0.246667,0.395722,148,452,0,120
0.999999,1.0,0.246667,0.395722,148,452,0,120
0.999999,1.0,0.248333,0.397864,149,451,0,120
0.999999,1.0,0.251667,0.40213,151,449,0,120
0.999999,1.0,0.253333,0.404255,152,448,0,120
0.999999,1.0,0.253333,0.404255,152,448,0,120
0.999999,1.0,0.255,0.406375,153,447,0,120
0.999999,1.0,0.258333,0.410596,155,445,0,120
0.999999,1.0,0.258333,0.410596,155,445,0,120
0.999999,1.0,0.26,0.412698,156,444,0,120
0.999999,1.0,0.263333,0.416887,158,442,0,120
0.999999,1.0,0.263333,0.416887,158,442,0,120
0.999999,1.0,0.266667,0.421053,160,440,0,120
0.999999,1.0,0.268333,0.423127,161,439,0,120
0.999999,1.0,0.268333,0.423127,161,439,0,120
0.999999,1.0,0.27,0.425197,162,438,0,120
0.999999,1.0,0.273333,0.429319,164,436,0,120
0.999999,1.0,0.275,0.431373,165,435,0,120
0.999999,1.0,0.275,0.431373,165,435,0,120
0.999998,1.0,0.278333,0.435463,167,433,0,120
0.999998,1.0,0.278333,0.435463,167,433,0,120
0.999998,1.0,0.28,0.4375,168,432,0,120
0.999998,1.0,0.283333,0.441558,170,430,0,120
0.999998,1.0,0.283333,0.441558,170,430,0,120
0.999998,1.0,0.286667,0.445596,172,428,0,120
0.999998,1.0,0.286667,0.445596,172,428,0,120
0.999998,1.0,0.288333,0.447607,173,427,0,120
0.999998,1.0,0.291667,0.451613,175,425,0,120
0.999998,1.0,0.291667,0.451613,175,425,0,120
0.999998,1.0,0.293333,0.453608,176,424,0,120
0.999998,1.0,0.296667,0.457584,178,422,0,120
0.999998,1.0,0.298333,0.459564,179,421,0,120
0.999998,1.0,0.3,0.461538,180,420,0,120
0.999997,1.0,0.301667,0.463508,181,419,0,120
0.999997,1.0,0.303333,0.465473,182,418,0,120
0.999997,1.0,0.305,0.467433,183,417,0,120
0.999997,1.0,0.305,0.467433,183,417,0,120
0.999997,1.0,0.306667,0.469388,184,416,0,120
0.999997,1.0,0.308333,0.471338,185,415,0,120
0.999997,1.0,0.31,0.473282,186,414,0,120
0.999997,1.0,0.313333,0.477157,188,412,0,120
0.999997,1.0,0.313333,0.477157,188,412,0,120
0.999996,1.0,0.315,0.479087,189,411,0,120
0.999996,1.0,0.316667,0.481013,190,410,0,120
0.999996,0.994764,0.316667,0.480405,190,410,1,119
0.999996,0.994819,0.32,0.484237,192,408,1,119
0.999996,0.994845,0.321667,0.486146,193,407,1,119
0.999996,0.994872,0.323333,0.48805,194,406,1,119
0.999996,0.994872,0.323333,0.48805,194,406,1,119
0.999996,0.994898,0.325,0.48995,195,405,1,119
0.999995,0.994949,0.328333,0.493734,197,403,1,119
0.999995,0.994949,0.328333,0.493734,197,403,1,119
0.999995,0.995,0.331667,0.4975,199,401,1,119
0.999995,0.995025,0.333333,0.499376,200,400,1,119
0.999995,0.995025,0.333333,0.499376,200,400,1,119
0.999995,0.995074,0.336667,0.503113,202,398,1,119
0.999995,0.995074,0.336667,0.503113,202,398,1,119
0.999995,0.995122,0.34,0.506832,204,396,1,119
0.999995,0.995146,0.341667,0.508685,205,395,1,119
0.999995,0.995146,0.341667,0.508685,205,395,1,119
0.999995,0.995192,0.345,0.512376,207,393,1,119
0.999995,0.995215,0.346667,0.514215,208,392,1,119
0.999994,0.995238,0.348333,0.516049,209,391,1,119
0.999994,0.995238,0.348333,0.516049,209,391,1,119
0.999994,0.995283,0.351667,0.519704,211,389,1,119
0.999994,0.995305,0.353333,0.521525,212,388,1,119
0.999994,0.995305,0.353333,0.521525,212,388,1,119
0.999994,0.995349,0.356667,0.525153,214,386,1,119
0.999994,0.995349,0.356667,0.525153,214,386,1,119
0.999994,0.995392,0.36,0.528764,216,384,1,119
0.999994,0.995392,0.36,0.528764,216,384,1,119
0.999994,0.995413,0.361667,0.530562,217,383,1,119
0.999994,0.995434,0.363333,0.532357,218,382,1,119
0.999993,0.995475,0.366667,0.535932,220,380,1,119
0.999993,0.995475,0.366667,0.535932,220,380,1,119
0.999993,0.995516,0.37,0.53949,222,378,1,119
0.999993,0.995536,0.371667,0.541262,223,377,1,119
0.999992,0.995536,0.371667,0.541262,223,377,1,119
0.999992,0.995556,0.373333,0.54303,224,376,1,119
0.999991,0.995595,0.376667,0.546554,226,374,1,119
0.99999,0.995595,0.376667,0.546554,226,374,1,119
0.99999,0.995614,0.378333,0.548309,227,373,1,119
0.999989,0.995652,0.381667,0.551807,229,371,1,119
0.999989,0.995652,0.381667,0.551807,229,371,1,119
0.999989,0.995671,0.383333,0.55355,230,370,1,119
0.999989,0.995708,0.386667,0.557023,232,368,1,119
0.999988,0.995708,0.386667,0.557023,232,368,1,119
0.999987,0.995745,0.39,0.560479,234,366,1,119
0.999987,0.995763,0.391667,0.562201,235,365,1,119
0.999986,0.995781,0.393333,0.563919,236,364,1,119
0.999986,0.995781,0.393333,0.563919,236,364,1,119
0.999986,0.995816,0.396667,0.567342,238,362,1,119
0.999986,0.995816,0.396667,0.567342,238,362,1,119
0.999985,0.995851,0.4,0.570749,240,360,1,119
0.999985,0.995868,0.401667,0.572447,241,359,1,119
0.999985,0.995868,0.401667,0.572447,241,359,1,119
0.999985,0.995885,0.403333,0.57414,242,358,1,119
0.999985,0.995902,0.405,0.575829,243,357,1,119
0.999985,0.995918,0.406667,0.577515,244,356,1,119
0.999984,0.995951,0.41,0.580874,246,354,1,119
0.999983,0.995951,0.41,0.580874,246,354,1,119
0.999983,0.995968,0.411667,0.582547,247,353,1,119
0.999983,0.996,0.415,0.585882,249,351,1,119
0.999982,0.996016,0.416667,0.587544,250,350,1,119
0.999982,0.996032,0.418333,0.589202,251,349,1,119
0.999981,0.996032,0.418333,0.589202,251,349,1,119
0.999981,0.996063,0.421667,0.592506,253,347,1,119
0.999981,0.996078,0.423333,0.594152,254,346,1,119
0.99998,0.996078,0.423333,0.594152,254,346,1,119
0.99998,0.996094,0.425,0.595794,255,345,1,119
0.999979,0.996109,0.426667,0.597433,256,344,1,119
0.999978,0.996124,0.428333,0.599068,257,343,1,119
0.999978,0.996139,0.43,0.600698,258,342,1,119
0.999978,0.996154,0.431667,0.602326,259,341,1,119
0.999976,0.996183,0.435,0.605568,261,339,1,119
0.999975,0.996183,0.435,0.605568,261,339,1,119
0.999975,0.996198,0.436667,0.607184,262,338,1,119
0.999975,0.996226,0.44,0.610405,264,336,1,119
0.999974,0.996241,0.441667,0.612009,265,335,1,119
0.999973,0.996241,0.441667,0.612009,265,335,1,119
0.999971,0.996255,0.443333,0.61361,266,334,1,119
0.99997,0.996283,0.446667,0.616801,268,332,1,119
0.99997,0.996296,0.448333,0.618391,269,331,1,119
0.99997,0.996296,0.448333,0.618391,269,331,1,119
0.999969,0.996324,0.451667,0.62156,271,329,1,119
0.999969,0.996337,0.453333,0.623139,272,328,1,119
0.999966,0.99635,0.455,0.624714,273,327,1,119
0.999966,0.99635,0.455,0.624714,273,327,1,119
0.999966,0.996364,0.456667,0.626286,274,326,1,119
0.999965,0.996377,0.458333,0.627854,275,325,1,119
0.999965,0.996403,0.461667,0.630979,277,323,1,119
0.999961,0.996416,0.463333,0.632537,278,322,1,119
0.99996,0.996416,0.463333,0.632537,278,322,1,119
0.99996,0.996429,0.465,0.634091,279,321,1,119
0.99996,0.992908,0.466667,0.634921,280,320,2,118
0.999959,0.992908,0.466667,0.634921,280,320,2,118
0.999957,0.992958,0.47,0.638009,282,318,2,118
0.999957,0.992982,0.471667,0.639548,283,317,2,118
0.999956,0.993007,0.473333,0.641084,284,316,2,118
0.999955,0.993031,0.475,0.642616,285,315,2,118
0.999953,0.993056,0.476667,0.644144,286,314,2,118
0.999952,0.99308,0.478333,0.645669,287,313,2,118
0.999952,0.99308,0.478333,0.645669,287,313,2,118
0.999949,0.993127,0.481667,0.648709,289,311,2,118
0.999946,0.993151,0.483333,0.650224,290,310,2,118
0.999945,0.993174,0.485,0.651736,291,309,2,118
0.99994,0.993174,0.485,0.651736,291,309,2,118
0.999938,0.993197,0.486667,0.653244,292,308,2,118
0.999938,0.993243,0.49,0.65625,294,306,2,118
0.999938,0.993266,0.491667,0.657748,295,305,2,118
0.999938,0.993289,0.493333,0.659243,296,304,2,118
0.999938,0.993289,0.493333,0.659243,296,304,2,118
0.999935,0.993311,0.495,0.660734,297,303,2,118
0.999934,0.993333,0.496667,0.662222,298,302,2,118
0.999928,0.993355,0.498333,0.663707,299,301,2,118
0.999928,0.993377,0.5,0.665188,300,300,2,118
0.999924,0.993399,0.501667,0.666667,301,299,2,118
0.999921,0.993443,0.505,0.669613,303,297,2,118
0.999919,0.993443,0.505,0.669613,303,297,2,118
0.999915,0.993485,0.508333,0.672547,305,295,2,118
0.999913,0.993506,0.51,0.674009,306,294,2,118
0.999909,0.993528,0.511667,0.675468,307,293,2,118
0.999909,0.993528,0.511667,0.675468,307,293,2,118
0.999907,0.993548,0.513333,0.676923,308,292,2,118
0.999906,0.993569,0.515,0.678375,309,291,2,118
0.999905,0.99361,0.518333,0.681271,311,289,2,118
0.999905,0.993631,0.52,0.682713,312,288,2,118
0.999904,0.993651,0.521667,0.684153,313,287,2,118
0.999902,0.993671,0.523333,0.68559,314,286,2,118
0.999901,0.993691,0.525,0.687023,315,285,2,118
0.999894,0.993711,0.526667,0.688453,316,284,2,118
0.999886,0.993711,0.526667,0.688453,316,284,2,118
0.999882,0.99375,0.53,0.691304,318,282,2,118
0.999882,0.993769,0.531667,0.692725,319,281,2,118
0.99988,0.993769,0.531667,0.692725,319,281,2,118
0.999876,0.993808,0.535,0.695558,321,279,2,118
0.99987,0.993827,0.536667,0.69697,322,278,2,118
0.999869,0.993846,0.538333,0.698378,323,277,2,118
0.999868,0.993865,0.54,0.699784,324,276,2,118
0.999868,0.993865,0.54,0.699784,324,276,2,118
0.999867,0.993884,0.541667,0.701187,325,275,2,118
0.999867,0.993921,0.545,0.703983,327,273,2,118
0.999865,0.993921,0.545,0.703983,327,273,2,118
0.999862,0.990937,0.546667,0.704619,328,272,3,117
0.999861,0.990964,0.548333,0.706009,329,271,3,117
0.999858,0.990991,0.55,0.707395,330,270,3,117
0.999857,0.991018,0.551667,0.708779,331,269,3,117
0.999854,0.991018,0.551667,0.708779,331,269,3,117
0.999849,0.991071,0.555,0.711538,333,267,3,117
0.999848,0.991071,0.555,0.711538,333,267,3,117
0.999845,0.991098,0.556667,0.712914,334,266,3,117
0.999841,0.991124,0.558333,0.714286,335,265,3,117
0.999837,0.99115,0.56,0.715655,336,264,3,117
0.999832,0.991176,0.561667,0.717021,337,263,3,117
0.999831,0.991202,0.563333,0.718385,338,262,3,117
0.999831,0.991254,0.566667,0.721103,340,260,3,117
0.99981,0.991254,0.566667,0.721103,340,260,3,117
0.99981,0.991279,0.568333,0.722458,341,259,3,117
0.999808,0.991304,0.57,0.72381,342,258,3,117
0.999799,0.991354,0.573333,0.726505,344,256,3,117
0.999792,0.991354,0.573333,0.726505,344,256,3,117
0.999788,0.991404,0.576667,0.729189,346,254,3,117
0.999785,0.991404,0.576667,0.729189,346,254,3,117
0.999781,0.988571,0.576667,0.728421,346,254,4,116
0.999781,0.988636,0.58,0.731092,348,252,4,116
0.999779,0.988669,0.581667,0.732424,349,251,4,116
0.999779,0.988669,0.581667,0.732424,349,251,4,116
0.999772,0.988701,0.583333,0.733753,350,250,4,116
0.999772,0.988732,0.585,0.735079,351,249,4,116
0.999771,0.988796,0.588333,0.737722,353,247,4,116
0.999767,0.988796,0.588333,0.737722,353,247,4,116
0.99976,0.988827,0.59,0.73904,354,246,4,116
0.999754,0.988889,0.593333,0.741667,356,244,4,116
0.999754,0.98892,0.595,0.742976,357,243,4,116
0.99975,0.98895,0.596667,0.744283,358,242,4,116
0.999745,0.988981,0.598333,0.745587,359,241,4,116
0.999738,0.989011,0.6,0.746888,360,240,4,116
0.999738,0.989041,0.601667,0.748187,361,239,4,116
0.999736,0.989071,0.603333,0.749482,362,238,4,116
0.999726,0.989101,0.605,0.750776,363,237,4,116
0.999726,0.989101,0.605,0.750776,363,237,4,116
0.999723,0.98916,0.608333,0.753354,365,235,4,116
0.99972,0.989189,0.61,0.754639,366,234,4,116
0.999718,0.989218,0.611667,0.755922,367,233,4,116
0.999716,0.989247,0.613333,0.757202,368,232,4,116
0.999715,0.989276,0.615,0.758479,369,231,4,116
0.999693,0.989276,0.615,0.758479,369,231,4,116
0.999683,0.989333,0.618333,0.761026,371,229,4,116
0.99967,0.989333,0.618333,0.761026,371,229,4,116
0.999664,0.98939,0.621667,0.763562,373,227,4,116
0.999661,0.98939,0.621667,0.763562,373,227,4,116
0.99964,0.986807,0.623333,0.764045,374,226,5,115
0.999602,0.986807,0.623333,0.764045,374,226,5,115
0.999596,0.986877,0.626667,0.766565,376,224,5,115
0.999595,0.986911,0.628333,0.767821,377,223,5,115
0.99959,0.986945,0.63,0.769074,378,222,5,115
0.999582,0.986979,0.631667,0.770325,379,221,5,115
0.999575,0.987013,0.633333,0.771574,380,220,5,115
0.999531,0.987047,0.635,0.772819,381,219,5,115
0.999513,0.98708,0.636667,0.774063,382,218,5,115
0.999504,0.98708,0.636667,0.774063,382,218,5,115
0.999498,0.987113,0.638333,0.775304,383,217,5,115
0.999493,0.987147,0.64,0.776542,384,216,5,115
0.999444,0.987212,0.643333,0.779011,386,214,5,115
0.999443,0.987212,0.643333,0.779011,386,214,5,115
0.999421,0.987245,0.645,0.780242,387,213,5,115
0.99942,0.987277,0.646667,0.78147,388,212,5,115
0.999419,0.987342,0.65,0.78392,390,210,5,115
0.999413,0.987342,0.65,0.78392,390,210,5,115
0.999402,0.987406,0.653333,0.786359,392,208,5,115
0.999395,0.987406,0.653333,0.786359,392,208,5,115
0.999391,0.984962,0.655,0.786787,393,207,6,114
0.999389,0.985,0.656667,0.788,394,206,6,114
0.999357,0.985037,0.658333,0.789211,395,205,6,114
0.999353,0.985037,0.658333,0.789211,395,205,6,114
0.999337,0.985112,0.661667,0.791625,397,203,6,114
0.999336,0.985149,0.663333,0.792829,398,202,6,114
0.9993,0.985149,0.663333,0.792829,398,202,6,114
0.999208,0.985222,0.666667,0.795229,400,200,6,114
0.99913,0.985222,0.666667,0.795229,400,200,6,114
0.999112,0.985258,0.668333,0.796425,401,199,6,114
0.999106,0.98533,0.671667,0.798811,403,197,6,114
0.999096,0.98533,0.671667,0.798811,403,197,6,114
0.999094,0.985366,0.673333,0.8,404,196,6,114
0.999066,0.985437,0.676667,0.802372,406,194,6,114
0.999059,0.985437,0.676667,0.802372,406,194,6,114
0.998994,0.983051,0.676667,0.801579,406,194,7,113
0.998987,0.983092,0.678333,0.802761,407,193,7,113
