variant,description,temperature,alpha,beta,gamma,auroc,average_precision,ece,brier_score,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,threshold_at_r995,threshold_at_r990
P0,calibrated p_abnormal,2.75167123,1.0,1.0,0.5,0.943155,0.986685,0.023273,0.058354,0.52381,0.583333,0.922395,0.894841,0.29,0.36
P1,p_abnormal + uncertainty,2.75167123,1.0,1.0,0.5,0.844629,0.925632,0.405649,0.242556,0.511905,0.583333,0.922395,0.894841,0.37,0.43
P2,p_abnormal + trust,2.75167123,1.0,1.0,0.5,0.936196,0.982154,0.502279,0.337258,0.464286,0.559524,0.918322,0.89881,0.21,0.23
P3,p_abnormal + trust + uncertainty,2.75167123,1.0,1.0,0.5,0.9089,0.973394,0.497062,0.33195,0.464286,0.583333,0.922395,0.894841,0.24,0.3
P4,P3 + HN-aware normal bank,2.75167123,1.0,1.0,0.5,0.90873,0.973622,0.497419,0.332337,0.464286,0.583333,0.922395,0.894841,0.24,0.3
