actual_label,Deformation,DepositAttachment,JointAnomaly,Normal,Roots,WallDamage
Deformation,100,8,1,6,0,5
DepositAttachment,9,75,11,9,5,11
JointAnomaly,0,10,75,2,15,18
Normal,4,5,6,97,1,7
Roots,0,2,17,1,92,8
WallDamage,4,19,24,8,8,57
