actual_label,Deformation,DepositAttachment,JointAnomaly,Normal,Roots,WallDamage
Deformation,0.833333,0.066667,0.008333,0.05,0.0,0.041667
DepositAttachment,0.075,0.625,0.091667,0.075,0.041667,0.091667
JointAnomaly,0.0,0.083333,0.625,0.016667,0.125,0.15
Normal,0.033333,0.041667,0.05,0.808333,0.008333,0.058333
Roots,0.0,0.016667,0.141667,0.008333,0.766667,0.066667
WallDamage,0.033333,0.158333,0.2,0.066667,0.066667,0.475
