                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.33145,                0.66806,                0.99167,                 1.3794,               0.006832,               0.006832,               0.006832
                     66,                0.31444,                0.64583,                0.99444,                 1.3962,              0.0067825,              0.0067825,              0.0067825
                     67,                0.30869,                0.64861,                0.99722,                  1.403,               0.006733,               0.006733,               0.006733
                     68,                0.30101,                0.65833,                0.99861,                 1.3873,              0.0066835,              0.0066835,              0.0066835
                     69,                0.29198,                0.65833,                0.99722,                 1.3922,               0.006634,               0.006634,               0.006634
                     70,                0.29504,                0.65417,                0.99722,                 1.3717,              0.0065845,              0.0065845,              0.0065845
                     71,                0.28735,                0.65833,                0.99583,                 1.3788,               0.006535,               0.006535,               0.006535
                     72,                0.29266,                0.67778,                0.99583,                  1.379,              0.0064855,              0.0064855,              0.0064855
                     73,                0.27582,                0.65278,                0.99444,                 1.3848,               0.006436,               0.006436,               0.006436
                     74,                0.26347,                0.67222,                0.99306,                 1.3708,              0.0063865,              0.0063865,              0.0063865
                     75,                0.26048,                0.66806,                0.99861,                 1.3701,               0.006337,               0.006337,               0.006337
                     76,                0.25037,                0.67222,                0.99583,                 1.3646,              0.0062875,              0.0062875,              0.0062875
                     77,                0.26553,                0.68056,                      1,                 1.3639,               0.006238,               0.006238,               0.006238
                     78,                0.26679,                0.65833,                      1,                 1.3799,              0.0061885,              0.0061885,              0.0061885
                     79,                0.23421,                0.66667,                      1,                 1.3676,               0.006139,               0.006139,               0.006139
                     80,                0.23101,                0.66944,                      1,                 1.3717,              0.0060895,              0.0060895,              0.0060895
                     81,                0.23014,                0.69444,                0.99583,                 1.3698,                0.00604,                0.00604,                0.00604
                     82,                0.23143,                0.68472,                0.99861,                 1.3556,              0.0059905,              0.0059905,              0.0059905
                     83,                0.24386,                0.68889,                0.99722,                 1.3532,               0.005941,               0.005941,               0.005941
                     84,                0.23392,                0.69167,                0.99583,                 1.3641,              0.0058915,              0.0058915,              0.0058915
                     85,                0.21949,                0.70278,                0.99583,                 1.3596,               0.005842,               0.005842,               0.005842
                     86,                0.22927,                0.67778,                0.99583,                 1.3782,              0.0057925,              0.0057925,              0.0057925
                     87,                0.21426,                0.68472,                0.99583,                 1.3674,               0.005743,               0.005743,               0.005743
                     88,                 0.1916,                0.68889,                0.99583,                 1.3537,              0.0056935,              0.0056935,              0.0056935
                     89,                 0.2002,                0.69722,                0.99722,                 1.3576,               0.005644,               0.005644,               0.005644
                     90,                0.22857,                0.68611,                0.99583,                  1.366,              0.0055945,              0.0055945,              0.0055945
                     91,                 0.1902,                0.69167,                0.99722,                 1.3678,               0.005545,               0.005545,               0.005545
