paper_id,title,path,bytes,sha256,source_format,selection_role,reading_rank,reading_credit_granted
P0003,Efficient and Robust Quantization-aware Training via Adaptive Coreset Selection,staging/broad_freeze_canonical_repaired_v4/sources/P0003.pdf,1490843,DA8DD93A84E162423C516445559607FFDE6FC61F12A0CF921165BC9DD913781B,PDF,PRIMARY,14,False
P0057,Dataset Cartography: Mapping and Diagnosing Datasets with Training Dynamics,staging/broad_freeze_canonical_repaired_v4/sources/P0057.pdf,12910878,E3D807F0E007FF03A22F6B80176F4BBC9F734E7804061C61792C6FF1B97C550F,PDF,PRIMARY,15,False
P0185,Adaptive Integration of Partial Label Learning and Negative Learning for Enhanced Noisy Label Learning,staging/broad_freeze_canonical_repaired_v4/sources/P0185.pdf,447584,E0723DE9A0340A0EBFAA4E22E327FE2AF31B175DD4D5EF8C997B4A4CF16E7010,PDF,PRIMARY,16,False
P0372,TEAL: New Selection Strategy for Small Buffers in Experience Replay Class Incremental Learning,staging/broad_freeze_canonical_repaired_v4/sources/P0372.pdf,1988739,6E0BA551389417BE08340D79A6C50BD828E6C7B3A05B948837C4CB5890D702AC,PDF,PRIMARY,17,False
P0008,How much does Initialization Affect Generalization?,staging/broad_freeze_canonical_repaired_v4/sources/P0008.pdf,3604674,F934608344387DAD5E095FEFBAD7FCDD0311D5E56D60DCAFF8E3E82BEE392EA3,PDF,PRIMARY,18,False
P0230,Combating noisy labels by agreement: A joint training method with co-regularization,staging/broad_freeze_canonical_repaired_v4/sources/P0230.pdf,1534645,42C292218BE97252C7F4748B9E6B9D537FBC370DF21E1070E5C0065C5FCBEF3A,PDF,PRIMARY,19,False
P0274,Accelerating Reinforcement Learning for Reaching Using Continuous Curriculum Learning,staging/broad_freeze_canonical_repaired_v4/sources/P0274.pdf,5224520,9001410C90B6B45261700991D498C596A27B59C76B49235D8B6190E7749479C8,PDF,PRIMARY,20,False
P0120,Few-Medoids: An Embarrassingly Simple Coreset Selection Method for Few-Shot Knowledge Distillation,staging/broad_freeze_canonical_repaired_v4/sources/P0120.pdf,308625,6E7A077E22EF22675B4CDFD5E4E34599C2F670232BFE1CC747B8024E70986966,PDF,PRIMARY,21,False
P0329,Attention-based Experience Replay Framework for Continual Learning of Agnostic Time Series Forecasting Models,staging/broad_freeze_canonical_repaired_v4/sources/P0329.pdf,568490,BC573319772252C95765F1C647ADF36F5030B61409DAE6884B9414C074D92A95,PDF,PRIMARY,22,False
P0452,Bridging Saliency Detection to Weakly Supervised Object Detection Based on Self-paced Curriculum Learning,staging/broad_freeze_canonical_repaired_v4/sources/P0452.pdf,2537266,40A1576454268337A325FAA5C4294C0C7E781F838E2A7BD3773471C4F7ED6997,PDF,PRIMARY,23,False
P0036,Phases of learning dynamics in artificial neural networks in the absence or presence of mislabeled data,staging/broad_freeze_canonical_repaired_v4/sources/P0036.pdf,1216875,2EA167464E0316C6CE7100210E680F68B829832266396486DFEA5941215A0A3F,PDF,PRIMARY,24,False
P0193,BRIEF: Bi-Level Coreset Selection for Efficient Instruction Tuning in LLMs,staging/broad_freeze_canonical_repaired_v4/sources/P0193.pdf,1211396,92440AE2967B02D1E3C65258503C00913CDCB00AD06A4EF708FFC97AE2B4A746,PDF,PRIMARY,25,False
P0383,A Bayesian Approach To Analysing Training Data Attribution In Deep Learning,staging/broad_freeze_canonical_repaired_v4/sources/P0383.pdf,3181465,25EF26ED306E0C91ED4660C55BE2F9FE1374C6B990E756EBEC238547B15EEE7E,PDF,PRIMARY,26,False
P0391,Latent State Models of Training Dynamics,staging/broad_freeze_canonical_repaired_v4/sources/P0391.pdf,3858343,4C8894137BB7C6903C175F714A1BC4E9E1026838C6322115350E19115E577E86,PDF,PRIMARY,27,False
P0272,Weakly Supervised AUC Optimization: A Unified Partial AUC Approach,staging/broad_freeze_canonical_repaired_v4/sources/P0272.pdf,1194333,76D44CB776354E62126A9AF17852870074DF8D25C3540979E60B8085BCF4FB8C,PDF,PRIMARY,28,False
P0366,IdentifyMix: An efficient two-stage learning approach to combating label noise,staging/broad_freeze_canonical_repaired_v4/sources/P0366.pdf,1952348,288BB103970206050E7D1E3F077DCA7F523C6A135DAA2EFA6BFB70E07B89E0D4,PDF,PRIMARY,29,False
P0336,Training with Growing Sets: A Simple Alternative to Curriculum Learning and Self Paced Learning,staging/broad_freeze_canonical_repaired_v4/sources/P0336.pdf,321055,D969C4C1CAD6483FA0709D4360C05754C362DB75D7811B05457E2CE499BAA4B1,PDF,PRIMARY,30,False
P0233,Hybrid Knowledge Transfer for Improved Cross-Lingual Event Detection via Hierarchical Sample Selection,staging/broad_freeze_canonical_repaired_v4/sources/P0233.pdf,508958,630E8A8E03C6EABCE2A383D47DCBC88DDD4CFFCDD786BAADABC6606FF3F0CFC6,PDF,PRIMARY,31,False
P0122,Semi-Supervised Learning for Maximizing the Partial AUC,staging/broad_freeze_canonical_repaired_v4/sources/P0122.pdf,706331,A63788E19B626422F6174D7FF7474278CC41B030399D5135DAA34249CE34F6E7,PDF,PRIMARY,32,False
P0470,Feature Distribution Matching by Optimal Transport for Effective and Robust Coreset Selection,staging/broad_freeze_canonical_repaired_v4/sources/P0470.pdf,643539,DCD6AB2C53575721BF7CD9D31E20969A125079DC32BFE9F02B6DB47D60003AAD,PDF,PRIMARY,33,False
P0145,Identifying Mislabeled Data using the Area Under the Margin Ranking,staging/broad_freeze_canonical_repaired_v4/sources/P0145.pdf,2500129,18884DA0DFDD63F625C3E45FF3E5C7907180045FB8D16C333D379880F37C3E83,PDF,PRIMARY,34,False
P0098,Influence Dynamics and Stagewise Data Attribution,staging/broad_freeze_canonical_repaired_v4/sources/P0098.pdf,11434373,DD4E715570D17E3287FF6EDC8EBA1F3D6EF8FFF67CBCA1749913F55EC75D3DCF,PDF,PRIMARY,35,False
