epoch,checkpoint_path,Accuracy,AUROC,AUPRC,top1_acc
31,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_031.pt,0.6528,0.9274,0.9812,0.6528
32,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_032.pt,0.6264,0.9385,0.9859,0.6264
33,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_033.pt,0.6472,0.9393,0.9857,0.6486
34,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_034.pt,0.6444,0.9349,0.9841,0.6444
35,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_035.pt,0.6500,0.9407,0.9860,0.6500
36,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_036.pt,0.6403,0.9327,0.9850,0.6403
37,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_037.pt,0.6528,0.9368,0.9844,0.6514
38,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_038.pt,0.6472,0.9237,0.9819,0.6472
39,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_039.pt,0.6500,0.9362,0.9859,0.6500
40,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_040.pt,0.6625,0.9414,0.9865,0.6625
41,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_041.pt,0.6500,0.9273,0.9825,0.6500
42,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_042.pt,0.6250,0.9297,0.9834,0.6250
43,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_043.pt,0.6333,0.9077,0.9778,0.6333
44,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_044.pt,0.6333,0.9299,0.9847,0.6333
45,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11x_cls6_formal_200ep\weights\epoch_045.pt,0.6569,0.9292,0.9833,0.6569
