Rank,Epoch,Spec@R99.5,Spec@R99.0,Prec@R99.0,PTR@R99.0,tau_R99.5,tau_R99.0
1,54,0.5238,0.5714,0.9205,0.8988,0.2800,0.3000
2,48,0.4881,0.5952,0.9244,0.8929,0.1500,0.2400
3,47,0.4881,0.5238,0.9125,0.9067,0.1900,0.2300
