Rank,Epoch,Spec@R99.5,Spec@R99.0,Prec@R99.0,PTR@R99.0,tau_R99.5,tau_R99.0
1,78,0.5952,0.6548,0.9348,0.8829,0.2800,0.3100
2,60,0.5238,0.5714,0.9204,0.8968,0.2200,0.2800
3,77,0.5119,0.6190,0.9286,0.8889,0.2500,0.3300
