Rank,Epoch,Spec@R99.5,Spec@R99.0,Prec@R99.0,PTR@R99.0,tau_R99.5,tau_R99.0
1,77,0.5238,0.5357,0.9143,0.9028,0.2500,0.2600
2,81,0.5119,0.5357,0.9145,0.9048,0.2400,0.2500
3,74,0.5119,0.5119,0.9109,0.9127,0.1900,0.1900
