run_name,collected_at,model,data_root,top1_accuracy,top5_accuracy,best_epoch,best_top1,gate_recall_at_0_50,gate_specificity_at_0_50,gate_precision_at_0_50,gate_f1_at_0_50,auroc_exact,average_precision_exact,materials_dir,run_dir,weights_path
yolo11l_gate2_train7200_hn02,2026-03-31 00:54:11,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\weights\yolo11l-cls.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02,0.930556,1.0,62,0.93056,0.965,0.758333,0.952303,0.958609,0.931,0.982875,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_ratio_sweep\hn02,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_hn_sweep\yolo11l_gate2_train7200_hn02,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_hn_sweep\yolo11l_gate2_train7200_hn02\weights\best.pt
yolo11l_gate2_train7200_hn04,2026-03-31 13:47:17,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\weights\yolo11l-cls.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn04,0.919444,1.0,30,0.92083,0.966667,0.683333,0.938511,0.952381,0.910319,0.973925,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_ratio_sweep\hn04,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_hn_sweep\yolo11l_gate2_train7200_hn04,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_hn_sweep\yolo11l_gate2_train7200_hn04\weights\best.pt
yolo11l_gate2_train7200_hn06,2026-03-31 15:14:04,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\weights\yolo11l-cls.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn06,0.926389,1.0,51,0.92639,0.973333,0.691667,0.940419,0.956593,0.928986,0.982711,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_ratio_sweep\hn06,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_hn_sweep\yolo11l_gate2_train7200_hn06,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_hn_sweep\yolo11l_gate2_train7200_hn06\weights\best.pt
yolo11l_gate2_train7200_hn08,2026-03-31 16:07:19,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\weights\yolo11l-cls.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn08,0.927778,1.0,24,0.92778,0.971667,0.708333,0.943366,0.957307,0.931556,0.983571,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_ratio_sweep\hn08,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_hn_sweep\yolo11l_gate2_train7200_hn08,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_hn_sweep\yolo11l_gate2_train7200_hn08\weights\best.pt
yolo11l_gate2_train7200_hn10,2026-03-31 17:34:46,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\weights\yolo11l-cls.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn10,0.923611,1.0,52,0.92361,0.976667,0.658333,0.934609,0.955175,0.927208,0.982379,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_ratio_sweep\hn10,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_hn_sweep\yolo11l_gate2_train7200_hn10,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_hn_sweep\yolo11l_gate2_train7200_hn10\weights\best.pt
yolo11l_gate2_train7200_hn12,2026-03-31 18:58:10,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\weights\yolo11l-cls.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn12,0.919444,1.0,37,0.91944,0.971667,0.658333,0.934295,0.952614,0.918458,0.980315,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_ratio_sweep\hn12,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_hn_sweep\yolo11l_gate2_train7200_hn12,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_hn_sweep\yolo11l_gate2_train7200_hn12\weights\best.pt
yolo11l_gate2_train7200_hn14,2026-03-31 19:51:34,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\weights\yolo11l-cls.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn14,0.930556,1.0,23,0.93056,0.973333,0.716667,0.944984,0.958949,0.929778,0.981816,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_ratio_sweep\hn14,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_hn_sweep\yolo11l_gate2_train7200_hn14,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_hn_sweep\yolo11l_gate2_train7200_hn14\weights\best.pt
yolo11l_gate2_train7200_hn16,2026-03-31 20:35:40,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\weights\yolo11l-cls.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn16,0.915278,1.0,15,0.91528,0.975,0.616667,0.9271,0.950447,0.923764,0.981812,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_ratio_sweep\hn16,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_hn_sweep\yolo11l_gate2_train7200_hn16,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_hn_sweep\yolo11l_gate2_train7200_hn16\weights\best.pt
yolo11l_gate2_train7200_hn18,2026-03-31 21:50:25,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\weights\yolo11l-cls.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn18,0.926389,1.0,39,0.92639,0.97,0.708333,0.943274,0.95645,0.934944,0.983333,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_ratio_sweep\hn18,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_hn_sweep\yolo11l_gate2_train7200_hn18,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_hn_sweep\yolo11l_gate2_train7200_hn18\weights\best.pt
yolo11l_gate2_train7200_hn20,2026-03-31 23:43:37,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\weights\yolo11l-cls.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn20,0.927778,1.0,69,0.92778,0.975,0.691667,0.940514,0.957447,0.934444,0.985388,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_gate_hn_ratio_sweep\hn20,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_hn_sweep\yolo11l_gate2_train7200_hn20,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\cls_gate_hn_sweep\yolo11l_gate2_train7200_hn20\weights\best.pt
