ratio_id,ratio_percent,backflow_count,model,run_name,best_epoch,best_checkpoint_path,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tau_r995,tau_r990,temperature_T,tn_at_r995,fn_at_r995,tn_at_r990,fn_at_r990,summary_dir,dataset_root,reuse_existing,delta_vs_hn00
hn00,0,0,yolo11x-cls,yolo11x_gate2_formal_200ep,125,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_125.pt,0.547619,0.595238,0.924444,0.892857,0.29,0.36,2.985442,46,2,50,4,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_hn_x_crosscheck\hn00,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200,1,delta Spec@R99.5=0.0000; delta Spec@R99.0=0.0000; delta Prec@R99.0=0.0000; delta PTR@R99.0=0.0000
hn02,2,22,yolo11x-cls,yolo11x_gate2_formal_hn02_200ep,1,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02_200ep\weights\epoch_001.pt,0.52381,0.547619,0.9163,0.900794,0.31,0.33,2.90778,44,2,46,4,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_hn_x_crosscheck\hn02,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_formal_gate_hn\yolo11x_gate2_formal_hn02,0,delta Spec@R99.5=-0.0238; delta Spec@R99.0=-0.0476; delta Prec@R99.0=-0.0081; delta PTR@R99.0=0.0079
