ratio_id,ratio_percent,backflow_count,model,run_name,best_epoch,best_checkpoint_path,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tau_r995,tau_r990,temperature_T,tn_at_r995,fn_at_r995,tn_at_r990,fn_at_r990,summary_dir,dataset_root,reuse_existing,formal_rank
hn14,14,151,yolo11m-cls,yolo11m_gate2_formal_hn14_200ep,74,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn14_200ep\weights\epoch_074.pt,0.642857,0.654762,0.934978,0.884921,0.35,0.36,2.380951,54,2,55,3,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_hn_m_sweep\hn14,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_formal_gate_hn\yolo11m_gate2_formal_hn14,0,1
hn02,2,22,yolo11m-cls,yolo11m_gate2_formal_hn02_200ep,51,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn02_200ep\weights\epoch_051.pt,0.642857,0.642857,0.933036,0.888889,0.37,0.37,2.598411,54,2,54,2,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_hn_m_sweep\hn02,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_formal_gate_hn\yolo11m_gate2_formal_hn02,0,2
hn00,0,0,yolo11m-cls,yolo11m_gate2_formal_200ep,78,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11m_gate2_formal_200ep\weights\epoch_078.pt,0.595238,0.654762,0.934831,0.882937,0.28,0.31,1.856125,50,2,55,4,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_hn_m_sweep\hn00,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200,1,3
hn06,6,65,yolo11m-cls,yolo11m_gate2_formal_hn06_200ep,96,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn06_200ep\weights\epoch_096.pt,0.595238,0.619048,0.928571,0.888889,0.32,0.37,2.838837,50,2,52,4,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_hn_m_sweep\hn06,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_formal_gate_hn\yolo11m_gate2_formal_hn06,0,4
hn08,8,86,yolo11m-cls,yolo11m_gate2_formal_hn08_200ep,1,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn08_200ep\weights\epoch_001.pt,0.583333,0.654762,0.934831,0.882937,0.23,0.28,1.790318,49,2,55,4,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_hn_m_sweep\hn08,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_formal_gate_hn\yolo11m_gate2_formal_hn08,0,5
hn16,16,173,yolo11m-cls,yolo11m_gate2_formal_hn16_200ep,118,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn16_200ep\weights\epoch_118.pt,0.571429,0.571429,0.920705,0.900794,0.32,0.32,3.199333,48,2,48,2,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_hn_m_sweep\hn16,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_formal_gate_hn\yolo11m_gate2_formal_hn16,0,6
hn04,4,43,yolo11m-cls,yolo11m_gate2_formal_hn04_200ep,144,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn04_200ep\weights\epoch_144.pt,0.559524,0.607143,0.926503,0.890873,0.34,0.39,3.731845,47,2,51,4,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_hn_m_sweep\hn04,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_formal_gate_hn\yolo11m_gate2_formal_hn04,0,7
hn20,20,216,yolo11m-cls,yolo11m_gate2_formal_hn20_200ep,1,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20_200ep\weights\epoch_001.pt,0.559524,0.595238,0.924612,0.894841,0.21,0.23,1.801013,47,2,50,3,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_hn_m_sweep\hn20,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_formal_gate_hn\yolo11m_gate2_formal_hn20,0,8
hn18,18,194,yolo11m-cls,yolo11m_gate2_formal_hn18_200ep,48,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn18_200ep\weights\epoch_048.pt,0.547619,0.547619,0.916667,0.904762,0.25,0.25,2.089258,46,2,46,2,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_hn_m_sweep\hn18,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_formal_gate_hn\yolo11m_gate2_formal_hn18,0,9
hn12,12,130,yolo11m-cls,yolo11m_gate2_formal_hn12_200ep,115,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11m_gate2_formal_hn12_200ep\weights\epoch_115.pt,0.535714,0.571429,0.920354,0.896825,0.3,0.34,3.2173,45,2,48,4,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\research\materials\stage1_formal\gate_hn_m_sweep\hn12,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_formal_gate_hn\yolo11m_gate2_formal_hn12,0,10
