bin_index,lower,upper,count,avg_confidence,empirical_positive_rate,gap
0,0.0,0.1,30,0.041469,0.1,0.058531
1,0.1,0.2,17,0.14187,0.235294,0.093424
2,0.2,0.3,10,0.228632,0.2,0.028632
3,0.3,0.4,6,0.359145,0.166667,0.192479
4,0.4,0.5,8,0.437314,0.375,0.062314
5,0.5,0.6,10,0.551159,0.9,0.348841
6,0.6,0.7,6,0.674434,0.5,0.174434
7,0.7,0.8,16,0.743379,0.75,0.006621
8,0.8,0.9,19,0.845902,0.736842,0.10906
9,0.9,1.0,382,0.986129,0.965969,0.020161
