threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
0.49,589,11,50,70,0.981667,0.921753,0.583333,0.416667,0.018333,0.864198,0.915278,0.950767,0.8875,70,50,589,11
0.5,589,11,48,72,0.981667,0.924647,0.6,0.4,0.018333,0.86747,0.918056,0.952304,0.884722,72,48,589,11
0.51,588,12,47,73,0.98,0.925984,0.608333,0.391667,0.02,0.858824,0.918056,0.952227,0.881944,73,47,588,12
0.52,587,13,47,73,0.978333,0.925868,0.608333,0.391667,0.021667,0.848837,0.916667,0.951378,0.880556,73,47,587,13
0.53,587,13,47,73,0.978333,0.925868,0.608333,0.391667,0.021667,0.848837,0.916667,0.951378,0.880556,73,47,587,13
0.54,586,14,47,73,0.976667,0.92575,0.608333,0.391667,0.023333,0.83908,0.915278,0.950527,0.879167,73,47,586,14
0.55,586,14,46,74,0.976667,0.927215,0.616667,0.383333,0.023333,0.840909,0.916667,0.951299,0.877778,74,46,586,14
0.56,586,14,45,75,0.976667,0.928685,0.625,0.375,0.023333,0.842697,0.918056,0.952071,0.876389,75,45,586,14
0.57,584,16,44,76,0.973333,0.929936,0.633333,0.366667,0.026667,0.826087,0.916667,0.95114,0.872222,76,44,584,16
0.58,584,16,44,76,0.973333,0.929936,0.633333,0.366667,0.026667,0.826087,0.916667,0.95114,0.872222,76,44,584,16
0.59,584,16,43,77,0.973333,0.931419,0.641667,0.358333,0.026667,0.827957,0.918056,0.951915,0.870833,77,43,584,16
0.6,582,18,43,77,0.97,0.9312,0.641667,0.358333,0.03,0.810526,0.915278,0.950204,0.868056,77,43,582,18
0.61,582,18,42,78,0.97,0.932692,0.65,0.35,0.03,0.8125,0.916667,0.95098,0.866667,78,42,582,18
0.62,581,19,42,78,0.968333,0.932584,0.65,0.35,0.031667,0.804124,0.915278,0.950123,0.865278,78,42,581,19
0.63,581,19,42,78,0.968333,0.932584,0.65,0.35,0.031667,0.804124,0.915278,0.950123,0.865278,78,42,581,19
0.64,581,19,42,78,0.968333,0.932584,0.65,0.35,0.031667,0.804124,0.915278,0.950123,0.865278,78,42,581,19
0.65,579,21,42,78,0.965,0.932367,0.65,0.35,0.035,0.787879,0.9125,0.948403,0.8625,78,42,579,21
0.66,579,21,42,78,0.965,0.932367,0.65,0.35,0.035,0.787879,0.9125,0.948403,0.8625,78,42,579,21
0.67,578,22,42,78,0.963333,0.932258,0.65,0.35,0.036667,0.78,0.911111,0.947541,0.861111,78,42,578,22
0.68,578,22,42,78,0.963333,0.932258,0.65,0.35,0.036667,0.78,0.911111,0.947541,0.861111,78,42,578,22
0.69,577,23,41,79,0.961667,0.933657,0.658333,0.341667,0.038333,0.77451,0.911111,0.947455,0.858333,79,41,577,23
0.7,577,23,41,79,0.961667,0.933657,0.658333,0.341667,0.038333,0.77451,0.911111,0.947455,0.858333,79,41,577,23
0.71,575,25,41,79,0.958333,0.933442,0.658333,0.341667,0.041667,0.759615,0.908333,0.945724,0.855556,79,41,575,25
0.72,575,25,40,80,0.958333,0.934959,0.666667,0.333333,0.041667,0.761905,0.909722,0.946502,0.854167,80,40,575,25
0.73,574,26,40,80,0.956667,0.934853,0.666667,0.333333,0.043333,0.754717,0.908333,0.945634,0.852778,80,40,574,26
0.74,573,27,38,82,0.955,0.937807,0.683333,0.316667,0.045,0.752294,0.909722,0.946325,0.848611,82,38,573,27
0.75,572,28,37,83,0.953333,0.939245,0.691667,0.308333,0.046667,0.747748,0.909722,0.946237,0.845833,83,37,572,28
0.76,572,28,36,84,0.953333,0.940789,0.7,0.3,0.046667,0.75,0.911111,0.94702,0.844444,84,36,572,28
0.77,572,28,36,84,0.953333,0.940789,0.7,0.3,0.046667,0.75,0.911111,0.94702,0.844444,84,36,572,28
0.78,569,31,36,84,0.948333,0.940496,0.7,0.3,0.051667,0.730435,0.906944,0.944398,0.840278,84,36,569,31
0.79,566,34,34,86,0.943333,0.943333,0.716667,0.283333,0.056667,0.716667,0.905556,0.943333,0.833333,86,34,566,34
0.8,566,34,33,87,0.943333,0.944908,0.725,0.275,0.056667,0.719008,0.906944,0.94412,0.831944,87,33,566,34
0.81,565,35,33,87,0.941667,0.944816,0.725,0.275,0.058333,0.713115,0.905556,0.943239,0.830556,87,33,565,35
0.82,563,37,30,90,0.938333,0.94941,0.75,0.25,0.061667,0.708661,0.906944,0.943839,0.823611,90,30,563,37
0.83,561,39,29,91,0.935,0.950847,0.758333,0.241667,0.065,0.7,0.905556,0.942857,0.819444,91,29,561,39
0.84,559,41,29,91,0.931667,0.95068,0.758333,0.241667,0.068333,0.689394,0.902778,0.941077,0.816667,91,29,559,41
0.85,559,41,28,92,0.931667,0.9523,0.766667,0.233333,0.068333,0.691729,0.904167,0.94187,0.815278,92,28,559,41
0.86,556,44,26,94,0.926667,0.955326,0.783333,0.216667,0.073333,0.681159,0.902778,0.940778,0.808333,94,26,556,44
0.87,553,47,25,95,0.921667,0.956747,0.791667,0.208333,0.078333,0.669014,0.9,0.938879,0.802778,95,25,553,47
0.88,546,54,24,96,0.91,0.957895,0.8,0.2,0.09,0.64,0.891667,0.933333,0.791667,96,24,546,54
0.89,544,56,24,96,0.906667,0.957746,0.8,0.2,0.093333,0.631579,0.888889,0.931507,0.788889,96,24,544,56
0.9,540,60,24,96,0.9,0.957447,0.8,0.2,0.1,0.615385,0.883333,0.927835,0.783333,96,24,540,60
0.91,534,66,23,97,0.89,0.958707,0.808333,0.191667,0.11,0.595092,0.876389,0.923077,0.773611,97,23,534,66
0.92,529,71,23,97,0.881667,0.958333,0.808333,0.191667,0.118333,0.577381,0.869444,0.918403,0.766667,97,23,529,71
0.93,521,79,20,100,0.868333,0.963031,0.833333,0.166667,0.131667,0.558659,0.8625,0.913234,0.751389,100,20,521,79
0.94,510,90,18,102,0.85,0.965909,0.85,0.15,0.15,0.53125,0.85,0.904255,0.733333,102,18,510,90
0.95,494,106,16,104,0.823333,0.968627,0.866667,0.133333,0.176667,0.495238,0.830556,0.89009,0.708333,104,16,494,106
0.96,475,125,14,106,0.791667,0.97137,0.883333,0.116667,0.208333,0.458874,0.806944,0.87236,0.679167,106,14,475,125
0.97,455,145,13,107,0.758333,0.972222,0.891667,0.108333,0.241667,0.424603,0.780556,0.85206,0.65,107,13,455,145
0.98,425,175,10,110,0.708333,0.977011,0.916667,0.083333,0.291667,0.385965,0.743056,0.821256,0.604167,110,10,425,175
0.99,368,232,9,111,0.613333,0.976127,0.925,0.075,0.386667,0.323615,0.665278,0.753327,0.523611,111,9,368,232
