actual_label,Deformation,DepositAttachment,JointAnomaly,Normal,Roots,WallDamage
Deformation,0.875,0.033333,0.016667,0.041667,0.0,0.033333
DepositAttachment,0.133333,0.583333,0.108333,0.058333,0.025,0.091667
JointAnomaly,0.041667,0.158333,0.633333,0.016667,0.033333,0.116667
Normal,0.133333,0.066667,0.041667,0.641667,0.008333,0.108333
Roots,0.0,0.083333,0.216667,0.016667,0.633333,0.05
WallDamage,0.033333,0.216667,0.091667,0.008333,0.008333,0.641667
