bin_index,lower,upper,count,avg_confidence,empirical_positive_rate,gap
0,0.0,0.1,23,0.056382,0.086957,0.030575
1,0.1,0.2,17,0.157645,0.058824,0.098821
2,0.2,0.3,16,0.25743,0.5625,0.30507
3,0.3,0.4,12,0.341723,0.333333,0.00839
4,0.4,0.5,15,0.440048,0.266667,0.173381
5,0.5,0.6,9,0.552092,0.888889,0.336797
6,0.6,0.7,14,0.652355,0.928571,0.276216
7,0.7,0.8,34,0.753033,0.911765,0.158732
8,0.8,0.9,45,0.854742,0.844444,0.010297
9,0.9,1.0,319,0.978863,0.971787,0.007076
