bin_index,lower,upper,count,avg_confidence,empirical_positive_rate,gap
0,0.0,0.1,51,0.018466,0.117647,0.099181
1,0.1,0.2,6,0.15508,0.166667,0.011587
2,0.2,0.3,4,0.238137,0.5,0.261863
3,0.3,0.4,3,0.344158,0.0,0.344158
4,0.4,0.5,5,0.456056,0.6,0.143944
5,0.5,0.6,3,0.5527,0.666667,0.113966
6,0.6,0.7,4,0.651636,0.5,0.151636
7,0.7,0.8,11,0.751399,0.818182,0.066783
8,0.8,0.9,10,0.862665,0.9,0.037335
9,0.9,1.0,407,0.995584,0.948403,0.047181
