actual_label,Deformation,DepositAttachment,JointAnomaly,Normal,Roots,WallDamage
Deformation,0.858333,0.041667,0.0,0.058333,0.0,0.041667
DepositAttachment,0.066667,0.641667,0.066667,0.05,0.041667,0.133333
JointAnomaly,0.025,0.075,0.633333,0.008333,0.116667,0.141667
Normal,0.058333,0.058333,0.041667,0.733333,0.025,0.083333
Roots,0.0,0.025,0.133333,0.008333,0.783333,0.05
WallDamage,0.025,0.133333,0.116667,0.066667,0.091667,0.566667
