variant,description,temperature,alpha,beta,gamma,auroc,average_precision,ece,brier_score,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,threshold_at_r995,threshold_at_r990
P0,calibrated p_abnormal,2.35745985,1.0,1.0,0.5,0.95479,0.989935,0.020921,0.053629,0.488095,0.52381,0.912281,0.904762,0.25,0.32
P1,p_abnormal + uncertainty,2.35745985,1.0,1.0,0.5,0.827664,0.902481,0.410645,0.241409,0.488095,0.52381,0.912473,0.906746,0.36,0.4
P2,p_abnormal + trust,2.35745985,1.0,1.0,0.5,0.9464,0.985437,0.50431,0.336309,0.464286,0.511905,0.910284,0.906746,0.21,0.22
P3,p_abnormal + trust + uncertainty,2.35745985,1.0,1.0,0.5,0.909099,0.974386,0.492735,0.330754,0.488095,0.5,0.908297,0.90873,0.25,0.27
P4,P3 + HN-aware normal bank,2.35745985,1.0,1.0,0.5,0.909382,0.974675,0.493084,0.331121,0.488095,0.5,0.908297,0.90873,0.25,0.27
