actual_label,Deformation,DepositAttachment,JointAnomaly,Normal,Roots,WallDamage
Deformation,0.875,0.041667,0.0,0.066667,0.008333,0.008333
DepositAttachment,0.05,0.583333,0.158333,0.05,0.033333,0.125
JointAnomaly,0.016667,0.083333,0.666667,0.016667,0.133333,0.083333
Normal,0.1,0.05,0.041667,0.716667,0.025,0.066667
Roots,0.0,0.033333,0.225,0.0,0.7,0.041667
WallDamage,0.016667,0.166667,0.191667,0.025,0.066667,0.533333
