ratio_id,ratio_percent,delta
hn00,0,0.0
hn02,2,0.04761899999999997
hn04,4,-0.035714000000000024
hn06,6,0.0
hn08,8,-0.011905000000000054
hn10,10,-0.07142800000000005
hn12,12,-0.05952400000000002
hn14,14,0.04761899999999997
hn16,16,-0.02380900000000008
hn18,18,-0.04761900000000008
hn20,20,-0.035714000000000024
