ratio_id,ratio_percent,delta
hn00,0,0.0
hn02,2,0.005952000000000068
hn04,4,0.007936000000000054
hn06,6,0.005952000000000068
hn08,8,0.0
hn10,10,0.021824999999999983
hn12,12,0.013888000000000011
hn14,14,0.0019839999999999858
hn16,16,0.017857000000000012
hn18,18,0.021824999999999983
hn20,20,0.011904000000000026
