ratio_id,ratio_percent,delta
hn00,0,0.0
hn02,2,-0.001794999999999991
hn04,4,-0.008328000000000002
hn06,6,-0.006259999999999932
hn08,8,0.0
hn10,10,-0.02035699999999996
hn12,12,-0.014476999999999962
hn14,14,0.00014700000000000824
hn16,16,-0.014125999999999972
hn18,18,-0.018163999999999958
hn20,20,-0.010218999999999978
