bin_index,lower,upper,count,avg_confidence,empirical_positive_rate,gap
0,0.0,0.1,0,,,
1,0.1,0.2,26,0.184394,0.038462,0.145932
2,0.2,0.3,66,0.249083,0.363636,0.114553
3,0.3,0.4,404,0.376936,0.957921,0.580985
4,0.4,0.5,8,0.40286,1.0,0.59714
5,0.5,0.6,0,,,
6,0.6,0.7,0,,,
7,0.7,0.8,0,,,
8,0.8,0.9,0,,,
9,0.9,1.0,0,,,
