setting,score_min,score_median,score_max,prob_min,prob_median,prob_max,effective_count,gini,prob_sum,top10_cumulative_pi,nonzero_probability_count,top10_ids,bottom10_ids
weighted_hn14_risk_only,0.0,0.048851,0.922919,0.0,0.00017329,0.06185073,64.5756,0.806705,1.0,0.36396423,250,Normal_00500159;Normal_00397824;Normal_00499653;Normal_00436092;Normal_00144495;Normal_00160652;Normal_00158209;Normal_00458420;Normal_00375607;Normal_00431431,Normal_00442574;Normal_00437877;Normal_00275398;Normal_00025314;Normal_00496516;Normal_00039977;Normal_00488176;Normal_00313631;Normal_00167010;Normal_00034962
weighted_hn14_risk_consistency,3.2e-05,3.2e-05,0.31653,0.0,0.0,0.200975,14.7234,0.955452,1.0,0.85812533,250,Normal_00457555;Normal_00344448;Normal_00320863;Normal_00160245;Normal_00335278;Normal_00006200;Normal_00278336;Normal_00019908;Normal_00503763;Normal_00359446,Normal_00500159;Normal_00397824;Normal_00436092;Normal_00144495;Normal_00158209;Normal_00458420;Normal_00375607;Normal_00329365;Normal_00479528;Normal_00380312
weighted_hn14_risk_consistency_density,0.001,0.001,0.437927,7e-07,7e-07,0.13336493,22.0599,0.934314,1.0,0.72464685,250,Normal_00457555;Normal_00344448;Normal_00320863;Normal_00278336;Normal_00006200;Normal_00019908;Normal_00503763;Normal_00335278;Normal_00160245;Normal_00359446,Normal_00500159;Normal_00397824;Normal_00436092;Normal_00144495;Normal_00158209;Normal_00458420;Normal_00375607;Normal_00329365;Normal_00479528;Normal_00380312
