epoch,train_loss,val_loss,top1,top5,lr_pg0,lr_pg1,lr_pg2,epoch_time_seconds,elapsed_seconds,batch_size,accumulate,effective_batch,gpu_mem_reserved_gb,gpu_mem_peak_reserved_gb,gpu_mem_peak_allocated_gb,fitness,best_fitness_so_far,best_epoch_so_far,possible_early_stop,stop_triggered,is_best_epoch
27,0.26568,0.43384,0.90139,1.0,0.008713,0.008713,0.008713,41.870511293411255,1129.5143349170685,32,2,64,7.243563008,7.243563008,4.673738752,0.95069,0.95278,26,0,0,0
28,0.26182,0.40953,0.90556,1.0,0.0086635,0.0086635,0.0086635,41.368107318878174,1170.8814435005188,32,2,64,7.233077248,7.233077248,4.691814912,0.95278,0.95278,28,0,0,1
29,0.25444,0.42322,0.9,1.0,0.008614,0.008614,0.008614,41.50857400894165,1212.391016960144,32,2,64,7.24566016,7.24566016,4.673738752,0.95,0.95278,28,0,0,0
30,0.24848,0.43315,0.9,1.0,0.0085645,0.0085645,0.0085645,41.68866443634033,1254.0796809196472,32,2,64,7.230980096,7.230980096,4.691814912,0.95,0.95278,28,0,0,0
31,0.24495,0.43392,0.89444,1.0,0.008515,0.008515,0.008515,41.31046223640442,1295.3891441822052,32,2,64,7.243563008,7.243563008,4.673738752,0.94722,0.95278,28,0,0,0
32,0.23825,0.41473,0.91111,1.0,0.0084655,0.0084655,0.0084655,41.737900733947754,1337.1280374526978,32,2,64,7.230980096,7.230980096,4.691814912,0.95556,0.95556,32,0,0,1
33,0.24249,0.41317,0.91111,1.0,0.008416,0.008416,0.008416,41.390661001205444,1378.518707036972,32,2,64,7.243563008,7.243563008,4.673738752,0.95556,0.95556,33,0,0,1
34,0.23562,0.41252,0.90972,1.0,0.0083665,0.0083665,0.0083665,41.59755897521973,1420.1162633895874,32,2,64,7.230980096,7.230980096,4.691814912,0.95486,0.95556,33,0,0,0
35,0.2385,0.41927,0.9125,1.0,0.008317,0.008317,0.008317,41.53753113746643,1461.653796672821,32,2,64,7.243563008,7.243563008,4.673738752,0.95625,0.95625,35,0,0,1
36,0.22931,0.42275,0.91389,1.0,0.0082675,0.0082675,0.0082675,41.259422063827515,1502.9132187366486,32,2,64,7.230980096,7.230980096,4.691814912,0.95694,0.95694,36,0,0,1
37,0.23074,0.43221,0.89028,1.0,0.008218000000000001,0.008218000000000001,0.008218000000000001,41.60852885246277,1544.5217454433441,32,2,64,7.243563008,7.243563008,4.673738752,0.94514,0.95694,36,0,0,0
38,0.22728,0.41935,0.9125,1.0,0.0081685,0.0081685,0.0081685,41.818912506103516,1586.3406596183777,32,2,64,7.230980096,7.230980096,4.691814912,0.95625,0.95694,36,0,0,0
39,0.22734,0.4126,0.90278,1.0,0.008119000000000001,0.008119000000000001,0.008119000000000001,41.18039155006409,1627.521050453186,32,2,64,7.243563008,7.243563008,4.673738752,0.95139,0.95694,36,0,0,0
40,0.21546,0.41056,0.90417,1.0,0.0080695,0.0080695,0.0080695,42.83041477203369,1670.3514647483826,32,2,64,7.230980096,7.230980096,4.691814912,0.95208,0.95694,36,0,0,0
41,0.22285,0.41536,0.91528,1.0,0.008020000000000001,0.008020000000000001,0.008020000000000001,41.60169076919556,1711.9521565437317,32,2,64,7.243563008,7.243563008,4.673738752,0.95764,0.95764,41,0,0,1
42,0.21779,0.42261,0.9,1.0,0.0079705,0.0079705,0.0079705,41.45265054702759,1753.4058003425598,32,2,64,7.230980096,7.230980096,4.691814912,0.95,0.95764,41,0,0,0
43,0.21583,0.40875,0.90694,1.0,0.007921000000000001,0.007921000000000001,0.007921000000000001,41.62192344665527,1795.0277318954468,32,2,64,7.243563008,7.243563008,4.673738752,0.95347,0.95764,41,0,0,0
44,0.21732,0.41858,0.90972,1.0,0.0078715,0.0078715,0.0078715,41.185675382614136,1836.2124059200287,32,2,64,7.230980096,7.230980096,4.691814912,0.95486,0.95764,41,0,0,0
45,0.2071,0.41302,0.91111,1.0,0.007822,0.007822,0.007822,41.36326861381531,1877.575674533844,32,2,64,7.243563008,7.243563008,4.673738752,0.95556,0.95764,41,0,0,0
46,0.20921,0.40491,0.9125,1.0,0.0077725,0.0077725,0.0077725,41.74460005760193,1919.321274280548,32,2,64,7.230980096,7.230980096,4.691814912,0.95625,0.95764,41,0,0,0
47,0.208,0.4091,0.90278,1.0,0.007723,0.007723,0.007723,41.57145142555237,1960.8927264213562,32,2,64,7.243563008,7.243563008,4.673738752,0.95139,0.95764,41,0,0,0
48,0.19805,0.41567,0.90278,1.0,0.0076735,0.0076735,0.0076735,41.45998215675354,2002.3527011871338,32,2,64,7.230980096,7.230980096,4.691814912,0.95139,0.95764,41,0,0,0
