bin_index,lower,upper,count,avg_confidence,empirical_positive_rate,gap
0,0.0,0.1,83,0.01874,0.13253,0.11379
1,0.1,0.2,5,0.154339,0.0,0.154339
2,0.2,0.3,9,0.23545,0.222222,0.013227
3,0.3,0.4,6,0.343955,0.5,0.156045
4,0.4,0.5,2,0.490687,0.0,0.490687
5,0.5,0.6,9,0.553072,0.777778,0.224706
6,0.6,0.7,6,0.630411,0.833333,0.202922
7,0.7,0.8,5,0.737037,0.8,0.062963
8,0.8,0.9,19,0.858032,0.894737,0.036705
9,0.9,1.0,576,0.996932,0.956597,0.040335
