ratio_id,ratio_percent,backflow_count,model,run_name,best_epoch,best_checkpoint_path,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tau_r995,tau_r990,temperature_T,tn_at_r995,fn_at_r995,tn_at_r990,fn_at_r990,summary_dir,dataset_root,reuse_existing
hn00,0,0,yolo11s-cls,yolo11s_gate2_formal_200ep,77,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11s_gate2_formal_200ep\weights\epoch_077.pt,0.52381,0.535714,0.914286,0.902778,0.25,0.26,1.223654,44,2,45,4,C:\GitHub\YOLO-CV\research\materials\stage1_formal\gate_hn_s_sweep\hn00,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200,1
hn02,2,22,yolo11s-cls,yolo11s_gate2_formal_hn02_200ep,8,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn02_200ep\weights\epoch_008.pt,0.511905,0.511905,0.910675,0.910714,0.31,0.31,1.093611,43,2,43,2,C:\GitHub\YOLO-CV\research\materials\stage1_formal\gate_hn_s_sweep\hn02,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_formal_gate_hn\yolo11s_gate2_hn02,0
hn04,4,43,yolo11s-cls,yolo11s_gate2_formal_hn04_200ep,28,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn04_200ep\weights\epoch_028.pt,0.559524,0.559524,0.918681,0.902778,0.26,0.26,1.334466,47,2,47,2,C:\GitHub\YOLO-CV\research\materials\stage1_formal\gate_hn_s_sweep\hn04,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_formal_gate_hn\yolo11s_gate2_hn04,0
hn06,6,65,yolo11s-cls,yolo11s_gate2_formal_hn06_200ep,54,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn06_200ep\weights\epoch_054.pt,0.5,0.52381,0.912281,0.904762,0.21,0.23,1.469693,42,2,44,4,C:\GitHub\YOLO-CV\research\materials\stage1_formal\gate_hn_s_sweep\hn06,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_formal_gate_hn\yolo11s_gate2_hn06,0
hn08,8,86,yolo11s-cls,yolo11s_gate2_formal_hn08_200ep,1,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn08_200ep\weights\epoch_001.pt,0.535714,0.571429,0.920354,0.896825,0.21,0.25,1.076737,45,2,48,4,C:\GitHub\YOLO-CV\research\materials\stage1_formal\gate_hn_s_sweep\hn08,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_formal_gate_hn\yolo11s_gate2_hn08,0
hn10,10,108,yolo11s-cls,yolo11s_gate2_formal_hn10_200ep,36,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn10_200ep\weights\epoch_036.pt,0.583333,0.595238,0.924612,0.894841,0.41,0.43,1.217161,49,2,50,3,C:\GitHub\YOLO-CV\research\materials\stage1_formal\gate_hn_s_sweep\hn10,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_formal_gate_hn\yolo11s_gate2_hn10,0
hn12,12,130,yolo11s-cls,yolo11s_gate2_formal_hn12_200ep,1,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn12_200ep\weights\epoch_001.pt,0.52381,0.535714,0.914474,0.904762,0.13,0.14,1.088961,44,2,45,3,C:\GitHub\YOLO-CV\research\materials\stage1_formal\gate_hn_s_sweep\hn12,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_formal_gate_hn\yolo11s_gate2_hn12,0
hn14,14,151,yolo11s-cls,yolo11s_gate2_formal_hn14_200ep,75,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn14_200ep\weights\epoch_075.pt,0.535714,0.583333,0.922395,0.894841,0.3,0.32,1.888662,45,2,49,4,C:\GitHub\YOLO-CV\research\materials\stage1_formal\gate_hn_s_sweep\hn14,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_formal_gate_hn\yolo11s_gate2_hn14,0
hn16,16,173,yolo11s-cls,yolo11s_gate2_formal_hn16_200ep,1,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn16_200ep\weights\epoch_001.pt,0.547619,0.571429,0.92053,0.89881,0.18,0.2,1.127605,46,2,48,3,C:\GitHub\YOLO-CV\research\materials\stage1_formal\gate_hn_s_sweep\hn16,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_formal_gate_hn\yolo11s_gate2_hn16,0
hn18,18,194,yolo11s-cls,yolo11s_gate2_formal_hn18_200ep,1,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_hn\yolo11s_gate2_formal_hn18_200ep\weights\epoch_001.pt,0.547619,0.571429,0.92053,0.89881,0.19,0.21,1.093773,46,2,48,3,C:\GitHub\YOLO-CV\research\materials\stage1_formal\gate_hn_s_sweep\hn18,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_formal_gate_hn\yolo11s_gate2_hn18,0
