epoch,checkpoint_file,checkpoint_path,checkpoint_exists,evaluated,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990
25,epoch24.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_025.pt,1,1,1.088293,0.2,0.2,0.369048,0.369048,0.887473,0.934524
26,epoch25.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_026.pt,1,1,0.816792,0.02,0.1,0.071429,0.392857,0.890792,0.926587
27,epoch26.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_027.pt,1,1,1.032598,0.24,0.3,0.416667,0.428571,0.896552,0.920635
28,epoch27.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_028.pt,1,1,0.911486,0.21,0.23,0.357143,0.416667,0.894624,0.922619
29,epoch28.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_029.pt,1,1,1.305676,0.28,0.33,0.297619,0.345238,0.883475,0.936508
30,epoch29.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_030.pt,1,1,1.015565,0.06,0.13,0.238095,0.452381,0.900648,0.918651
31,epoch30.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_031.pt,1,1,1.102469,0.14,0.19,0.357143,0.428571,0.896552,0.920635
32,epoch31.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_032.pt,1,1,1.325685,0.29,0.34,0.392857,0.47619,0.904348,0.912698
33,epoch32.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_033.pt,1,1,1.063755,0.09,0.15,0.22619,0.333333,0.881356,0.936508
34,epoch33.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_034.pt,1,1,0.932826,0.1,0.13,0.369048,0.392857,0.891026,0.928571
35,epoch34.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_035.pt,1,1,1.093603,0.17,0.22,0.369048,0.404762,0.892704,0.924603
36,epoch35.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_036.pt,1,1,1.096686,0.17,0.24,0.380952,0.440476,0.898488,0.918651
37,epoch36.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_037.pt,1,1,1.082302,0.14,0.2,0.392857,0.452381,0.900433,0.916667
38,epoch37.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_038.pt,1,1,1.311385,0.1,0.15,0.22619,0.369048,0.886994,0.930556
39,epoch38.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_039.pt,1,1,1.185731,0.27,0.3,0.404762,0.440476,0.898488,0.918651
40,epoch39.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_040.pt,1,1,1.3801,0.2,0.21,0.369048,0.392857,0.890792,0.926587
41,epoch40.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_041.pt,1,1,1.401006,0.26,0.28,0.452381,0.464286,0.902386,0.914683
42,epoch41.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11l_gate2_formal_200ep\weights\epoch_042.pt,1,1,1.172887,0.24,0.3,0.404762,0.464286,0.902386,0.914683
