bin_index,lower,upper,count,avg_confidence,empirical_positive_rate,gap
0,0.0,0.1,0,,,
1,0.1,0.2,49,0.180666,0.081633,0.099034
2,0.2,0.3,56,0.256002,0.535714,0.279712
3,0.3,0.4,360,0.378286,0.963889,0.585603
4,0.4,0.5,39,0.402505,1.0,0.597495
5,0.5,0.6,0,,,
6,0.6,0.7,0,,,
7,0.7,0.8,0,,,
8,0.8,0.9,0,,,
9,0.9,1.0,0,,,
