run_slot,recomputed,exact_match,integer_fields_exact,max_float_abs_error,metric_issue
RUN_001,True,True,True,1.1102230246251563e-16,
RUN_002,True,True,True,9.367506770274757e-17,
RUN_003,True,True,True,6.591949208711867e-17,
RUN_004,True,True,True,1.1102230246251563e-16,
RUN_005,True,True,True,1.1102230246251563e-16,
RUN_006,True,True,True,9.714451465470121e-17,
RUN_007,True,True,True,1.1102230246251563e-16,
RUN_008,True,True,True,9.020562075079396e-17,
RUN_009,True,True,True,2.220446049250313e-16,
RUN_010,True,True,True,7.28583859910259e-17,
RUN_011,True,True,True,1.1102230246251563e-16,
RUN_012,True,True,True,1.1102230246251563e-16,
RUN_013,True,True,True,1.1102230246251563e-16,
RUN_014,True,True,True,1.1102230246251563e-16,
RUN_015,True,True,True,1.1102230246251563e-16,
RUN_016,True,True,True,2.220446049250313e-16,
RUN_017,True,True,True,1.1102230246251563e-16,
RUN_018,True,True,True,1.1102230246251563e-16,
RUN_019,True,True,True,1.1102230246251563e-16,
RUN_020,True,True,True,8.326672684688674e-17,
RUN_021,True,True,True,1.1102230246251563e-16,
RUN_022,True,True,True,1.1102230246251563e-16,
RUN_023,True,True,True,6.245004513516506e-17,
RUN_024,True,True,True,1.1102230246251563e-16,
RUN_025,True,True,True,8.326672684688674e-17,
RUN_026,True,True,True,1.1102230246251563e-16,
RUN_027,True,True,True,1.1102230246251563e-16,
RUN_028,True,True,True,1.1102230246251563e-16,
RUN_029,True,True,True,9.367506770274757e-17,
RUN_030,True,True,True,1.1102230246251563e-16,
RUN_031,True,True,True,1.1102230246251563e-16,
RUN_032,True,True,True,1.1102230246251563e-16,
RUN_033,True,True,True,1.1102230246251563e-16,
RUN_034,True,True,True,1.1102230246251563e-16,
RUN_035,True,True,True,1.1102230246251563e-16,
RUN_036,True,True,True,1.1102230246251563e-16,
RUN_037,True,True,True,7.63278329429795e-17,
RUN_038,True,True,True,8.326672684688674e-17,
RUN_039,True,True,True,1.1102230246251563e-16,
RUN_040,True,True,True,8.326672684688674e-17,
RUN_041,True,True,True,1.1102230246251563e-16,
RUN_042,True,True,True,1.1102230246251563e-16,
RUN_043,True,True,True,2.220446049250313e-16,
RUN_044,True,True,True,1.1102230246251563e-16,
RUN_045,True,True,True,1.1102230246251563e-16,
RUN_046,True,True,True,1.1102230246251563e-16,
RUN_047,True,True,True,6.245004513516506e-17,
RUN_048,True,True,True,1.1102230246251563e-16,
RUN_049,True,True,True,1.1102230246251563e-16,
RUN_050,True,True,True,1.1102230246251563e-16,
RUN_051,True,True,True,1.1102230246251563e-16,
RUN_052,True,True,True,9.714451465470121e-17,
RUN_053,True,True,True,1.1102230246251563e-16,
RUN_054,True,True,True,1.1102230246251563e-16,
RUN_055,True,True,True,2.220446049250313e-16,
RUN_056,True,True,True,8.326672684688674e-17,
RUN_057,True,True,True,6.938893903907227e-17,
RUN_058,True,True,True,2.220446049250313e-16,
RUN_059,True,True,True,1.1102230246251563e-16,
RUN_060,True,True,True,1.1102230246251563e-16,
RUN_061,True,True,True,1.1102230246251563e-16,
RUN_062,True,True,True,8.673617379884034e-17,
RUN_063,True,True,True,6.938893903907227e-17,
RUN_064,True,True,True,2.220446049250313e-16,
RUN_065,True,True,True,1.1102230246251563e-16,
RUN_066,True,True,True,1.1102230246251563e-16,
RUN_067,True,True,True,1.1102230246251563e-16,
RUN_068,True,True,True,5.551115123125783e-17,
RUN_069,True,True,True,6.938893903907227e-17,
RUN_070,True,True,True,1.1102230246251563e-16,
RUN_071,True,True,True,1.1102230246251563e-16,
RUN_072,True,True,True,2.220446049250313e-16,
RUN_073,True,True,True,1.1102230246251563e-16,
RUN_074,True,True,True,1.1102230246251563e-16,
RUN_075,True,True,True,1.1102230246251563e-16,
RUN_076,True,True,True,1.1102230246251563e-16,
RUN_077,True,True,True,1.1102230246251563e-16,
RUN_078,True,True,True,8.326672684688674e-17,
RUN_079,True,True,True,1.1102230246251563e-16,
RUN_080,True,True,True,1.1102230246251563e-16,
RUN_081,True,True,True,1.1102230246251563e-16,
RUN_082,True,True,True,1.1102230246251563e-16,
RUN_083,True,True,True,1.1102230246251563e-16,
RUN_084,True,True,True,7.63278329429795e-17,
RUN_085,True,True,True,1.1102230246251563e-16,
RUN_086,True,True,True,1.1102230246251563e-16,
RUN_087,True,True,True,1.1102230246251563e-16,
RUN_088,True,True,True,2.220446049250313e-16,
RUN_089,True,True,True,1.1102230246251563e-16,
RUN_090,True,True,True,1.1102230246251563e-16,
RUN_091,True,True,True,1.1102230246251563e-16,
RUN_092,True,True,True,6.245004513516506e-17,
RUN_093,True,True,True,1.1102230246251563e-16,
RUN_094,True,True,True,1.1102230246251563e-16,
RUN_095,True,True,True,1.1102230246251563e-16,
RUN_096,True,True,True,9.714451465470121e-17,
RUN_097,True,True,True,1.1102230246251563e-16,
RUN_098,True,True,True,1.1102230246251563e-16,
RUN_099,True,True,True,2.220446049250313e-16,
RUN_100,True,True,True,1.1102230246251563e-16,
RUN_101,True,True,True,2.220446049250313e-16,
RUN_102,True,True,True,1.1102230246251563e-16,
RUN_103,True,True,True,5.551115123125783e-17,
RUN_104,True,True,True,1.1102230246251563e-16,
RUN_105,True,True,True,1.1102230246251563e-16,
RUN_106,True,True,True,1.1102230246251563e-16,
RUN_107,True,True,True,2.220446049250313e-16,
RUN_108,True,True,True,7.979727989493313e-17,
RUN_109,True,True,True,1.1102230246251563e-16,
RUN_110,True,True,True,1.1102230246251563e-16,
RUN_111,True,True,True,1.1102230246251563e-16,
RUN_112,True,True,True,6.591949208711867e-17,
RUN_113,True,True,True,1.1102230246251563e-16,
RUN_114,True,True,True,1.1102230246251563e-16,
RUN_115,True,True,True,9.714451465470121e-17,
RUN_116,True,True,True,8.326672684688674e-17,
RUN_117,True,True,True,5.551115123125783e-17,
RUN_118,True,True,True,1.1102230246251563e-16,
RUN_119,True,True,True,1.1102230246251563e-16,
RUN_120,True,True,True,5.551115123125783e-17,
RUN_121,True,True,True,1.1102230246251563e-16,
RUN_122,True,True,True,1.1102230246251563e-16,
RUN_123,True,True,True,1.1102230246251563e-16,
RUN_124,True,True,True,1.1102230246251563e-16,
RUN_125,True,True,True,1.1102230246251563e-16,
RUN_126,True,True,True,1.1102230246251563e-16,
RUN_127,True,True,True,8.326672684688674e-17,
RUN_128,True,True,True,1.1102230246251563e-16,
RUN_129,True,True,True,1.1102230246251563e-16,
RUN_130,True,True,True,2.775557561562892e-17,
RUN_131,True,True,True,8.326672684688674e-17,
RUN_132,True,True,True,1.1102230246251563e-16,
RUN_133,True,True,True,1.1102230246251563e-16,
RUN_134,True,True,True,8.326672684688674e-17,
RUN_135,True,True,True,1.1102230246251563e-16,
RUN_136,True,True,True,1.1102230246251563e-16,
RUN_137,True,True,True,2.220446049250313e-16,
RUN_138,True,True,True,8.326672684688674e-17,
RUN_139,True,True,True,1.1102230246251563e-16,
RUN_140,True,True,True,4.510281037539698e-17,
RUN_141,True,True,True,1.1102230246251563e-16,
RUN_142,True,True,True,1.1102230246251563e-16,
RUN_143,True,True,True,1.1102230246251563e-16,
RUN_144,True,True,True,1.1102230246251563e-16,
RUN_145,True,True,True,1.1102230246251563e-16,
RUN_146,True,True,True,1.1102230246251563e-16,
RUN_147,True,True,True,1.1102230246251563e-16,
RUN_148,True,True,True,9.367506770274757e-17,
RUN_149,True,True,True,4.163336342344337e-17,
RUN_150,True,True,True,1.1102230246251563e-16,
RUN_151,True,True,True,1.1102230246251563e-16,
RUN_152,True,True,True,1.1102230246251563e-16,
RUN_153,True,True,True,1.1102230246251563e-16,
RUN_154,True,True,True,7.979727989493313e-17,
RUN_155,True,True,True,6.591949208711867e-17,
RUN_156,True,True,True,1.1102230246251563e-16,
RUN_157,True,True,True,1.1102230246251563e-16,
RUN_158,True,True,True,1.1102230246251563e-16,
RUN_159,True,True,True,1.1102230246251563e-16,
RUN_160,True,True,True,1.1102230246251563e-16,
RUN_161,True,True,True,1.1102230246251563e-16,
RUN_162,True,True,True,8.326672684688674e-17,
RUN_163,True,True,True,2.220446049250313e-16,
RUN_164,True,True,True,1.1102230246251563e-16,
RUN_165,True,True,True,7.63278329429795e-17,
RUN_166,True,True,True,1.1102230246251563e-16,
RUN_167,True,True,True,1.1102230246251563e-16,
RUN_168,True,True,True,1.1102230246251563e-16,
RUN_169,True,True,True,6.938893903907227e-17,
RUN_170,True,True,True,7.28583859910259e-17,
RUN_171,True,True,True,2.220446049250313e-16,
RUN_172,True,True,True,9.367506770274757e-17,
RUN_173,True,True,True,1.1102230246251563e-16,
RUN_174,True,True,True,1.1102230246251563e-16,
RUN_175,True,True,True,1.1102230246251563e-16,
RUN_176,True,True,True,1.1102230246251563e-16,
RUN_177,True,True,True,8.673617379884034e-17,
RUN_178,True,True,True,1.1102230246251563e-16,
RUN_179,True,True,True,1.1102230246251563e-16,
RUN_180,True,True,True,2.220446049250313e-16,
RUN_181,True,True,True,1.1102230246251563e-16,
RUN_182,True,True,True,1.1102230246251563e-16,
RUN_183,True,True,True,1.1102230246251563e-16,
RUN_184,True,True,True,2.220446049250313e-16,
RUN_185,True,True,True,1.1102230246251563e-16,
RUN_186,True,True,True,1.1102230246251563e-16,
RUN_187,True,True,True,1.1102230246251563e-16,
RUN_188,True,True,True,1.1102230246251563e-16,
RUN_189,True,True,True,1.1102230246251563e-16,
RUN_190,True,True,True,1.1102230246251563e-16,
RUN_191,True,True,True,2.220446049250313e-16,
RUN_192,True,True,True,1.1102230246251563e-16,
RUN_193,True,True,True,7.28583859910259e-17,
RUN_194,True,True,True,1.1102230246251563e-16,
RUN_195,True,True,True,1.1102230246251563e-16,
RUN_196,True,True,True,5.551115123125783e-17,
RUN_197,True,True,True,5.551115123125783e-17,
RUN_198,True,True,True,1.1102230246251563e-16,
RUN_199,True,True,True,1.1102230246251563e-16,
RUN_200,True,True,True,1.1102230246251563e-16,
RUN_201,True,True,True,6.245004513516506e-17,
RUN_202,True,True,True,1.1102230246251563e-16,
RUN_203,True,True,True,1.1102230246251563e-16,
RUN_204,True,True,True,1.1102230246251563e-16,
RUN_205,True,True,True,1.1102230246251563e-16,
RUN_206,True,True,True,1.1102230246251563e-16,
RUN_207,True,True,True,1.1102230246251563e-16,
RUN_208,True,True,True,1.1102230246251563e-16,
RUN_209,True,True,True,2.220446049250313e-16,
RUN_210,True,True,True,5.551115123125783e-17,
RUN_211,True,True,True,2.220446049250313e-16,
RUN_212,True,True,True,1.1102230246251563e-16,
RUN_213,True,True,True,1.1102230246251563e-16,
RUN_214,True,True,True,1.1102230246251563e-16,
RUN_215,True,True,True,1.1102230246251563e-16,
RUN_216,True,True,True,4.8572257327350605e-17,
RUN_217,True,True,True,1.1102230246251563e-16,
RUN_218,True,True,True,8.326672684688674e-17,
RUN_219,True,True,True,1.1102230246251563e-16,
RUN_220,True,True,True,2.220446049250313e-16,
RUN_221,True,True,True,1.1102230246251563e-16,
RUN_222,True,True,True,5.551115123125783e-17,
RUN_223,True,True,True,1.1102230246251563e-16,
RUN_224,True,True,True,9.020562075079396e-17,
RUN_225,True,True,True,1.1102230246251563e-16,
RUN_226,True,True,True,1.1102230246251563e-16,
RUN_227,True,True,True,1.1102230246251563e-16,
RUN_228,True,True,True,1.1102230246251563e-16,
RUN_229,True,True,True,1.1102230246251563e-16,
RUN_230,True,True,True,1.1102230246251563e-16,
RUN_231,True,True,True,1.1102230246251563e-16,
RUN_232,True,True,True,7.28583859910259e-17,
RUN_233,True,True,True,1.1102230246251563e-16,
RUN_234,True,True,True,8.326672684688674e-17,
RUN_235,True,True,True,1.1102230246251563e-16,
RUN_236,True,True,True,9.020562075079396e-17,
RUN_237,True,True,True,1.1102230246251563e-16,
RUN_238,True,True,True,1.1102230246251563e-16,
RUN_239,True,True,True,9.020562075079396e-17,
RUN_240,True,True,True,1.1102230246251563e-16,
