epoch,a1_spec_at_r995,a4_spec_at_r995,delta_spec_at_r995
57,0.27381,0.440476,0.16666599999999998
58,0.369048,0.297619,-0.07142899999999996
59,0.119048,0.488095,0.369047
60,0.392857,0.404762,0.011904999999999999
61,0.238095,0.333333,0.09523799999999999
62,0.392857,0.261905,-0.130952
63,0.428571,0.130952,-0.29761899999999997
64,0.559524,0.345238,-0.21428600000000003
65,0.440476,0.428571,-0.011904999999999999
66,0.321429,0.464286,0.14285699999999996
67,0.5,0.369048,-0.130952
68,0.297619,0.416667,0.11904799999999999
69,0.464286,0.416667,-0.04761899999999997
70,0.416667,0.416667,0.0
71,0.404762,0.345238,-0.05952400000000002
72,0.47619,0.345238,-0.130952
73,0.47619,0.345238,-0.130952
74,0.642857,0.416667,-0.22619
75,0.464286,0.380952,-0.08333399999999996
76,0.488095,0.345238,-0.142857
77,0.285714,0.321429,0.035715
78,0.357143,0.404762,0.04761900000000002
79,0.416667,0.321429,-0.09523799999999999
80,0.440476,0.25,-0.19047599999999998
81,0.440476,0.119048,-0.321428
82,0.440476,0.321429,-0.11904699999999996
83,0.392857,0.488095,0.09523799999999999
84,0.380952,0.321429,-0.05952299999999999
85,0.404762,0.428571,0.02380899999999997
86,0.440476,0.488095,0.04761900000000002
87,0.404762,0.392857,-0.011904999999999999
88,0.321429,0.392857,0.07142799999999999
89,0.392857,0.309524,-0.08333299999999999
90,0.428571,0.27381,-0.15476099999999998
91,0.321429,0.309524,-0.011904999999999999
92,0.380952,0.297619,-0.08333299999999999
93,0.285714,0.416667,0.13095299999999999
94,0.380952,0.416667,0.035715
95,0.428571,0.464286,0.035715
96,0.488095,0.452381,-0.035714000000000024
97,0.464286,0.357143,-0.10714299999999999
98,0.464286,0.345238,-0.11904799999999999
99,0.464286,0.333333,-0.13095299999999999
100,0.452381,0.333333,-0.11904799999999999
101,0.428571,0.357143,-0.07142799999999999
102,0.452381,0.369048,-0.08333299999999999
103,0.488095,0.380952,-0.10714299999999999
104,0.5,0.369048,-0.130952
105,0.571429,0.369048,-0.20238099999999998
106,0.547619,0.297619,-0.24999999999999994
107,0.511905,0.297619,-0.21428600000000003
108,0.464286,0.416667,-0.04761899999999997
109,0.440476,0.428571,-0.011904999999999999
110,0.464286,0.369048,-0.09523799999999999
111,0.428571,0.285714,-0.14285699999999996
112,0.369048,0.297619,-0.07142899999999996
113,0.380952,0.238095,-0.142857
114,0.416667,0.309524,-0.10714299999999999
115,0.392857,0.321429,-0.07142799999999999
116,0.404762,0.333333,-0.07142900000000002
117,0.380952,0.309524,-0.07142799999999999
118,0.357143,0.357143,0.0
119,0.428571,0.333333,-0.09523799999999999
120,0.404762,0.333333,-0.07142900000000002
121,0.428571,0.309524,-0.11904699999999996
122,0.52381,0.321429,-0.20238099999999998
123,0.464286,0.309524,-0.15476199999999996
124,0.404762,0.27381,-0.130952
125,0.404762,0.238095,-0.166667
126,0.392857,0.27381,-0.11904700000000001
127,0.357143,0.27381,-0.08333299999999999
128,0.297619,0.321429,0.023809999999999998
129,0.285714,0.392857,0.10714299999999999
130,0.22619,0.452381,0.22619099999999998
131,0.238095,0.47619,0.238095
132,0.202381,0.47619,0.27380899999999997
133,0.238095,0.47619,0.238095
134,0.25,0.464286,0.21428599999999998
135,0.357143,0.452381,0.09523799999999999
136,0.404762,0.452381,0.04761899999999997
137,0.392857,0.452381,0.059523999999999966
138,0.416667,0.464286,0.04761899999999997
139,0.392857,0.452381,0.059523999999999966
140,0.380952,0.47619,0.09523799999999999
141,0.380952,0.452381,0.07142899999999996
142,0.345238,0.428571,0.08333299999999999
143,0.357143,0.404762,0.04761900000000002
144,0.297619,0.357143,0.059523999999999966
145,0.261905,0.369048,0.10714299999999999
146,0.27381,0.369048,0.09523799999999999
147,0.261905,0.369048,0.10714299999999999
148,0.261905,0.380952,0.11904700000000001
149,0.25,0.357143,0.10714299999999999
150,0.22619,0.345238,0.11904799999999999
151,0.22619,0.309524,0.08333400000000002
152,0.22619,0.333333,0.10714299999999999
153,0.22619,0.333333,0.10714299999999999
154,0.22619,0.345238,0.11904799999999999
155,0.261905,0.369048,0.10714299999999999
156,0.285714,0.369048,0.08333399999999996
157,0.285714,0.369048,0.08333399999999996
158,0.297619,0.380952,0.08333299999999999
159,0.285714,0.380952,0.09523799999999999
160,0.333333,0.380952,0.04761900000000002
161,0.333333,0.380952,0.04761900000000002
162,0.309524,0.369048,0.059523999999999966
163,0.27381,0.369048,0.09523799999999999
164,0.27381,0.369048,0.09523799999999999
165,0.285714,0.392857,0.10714299999999999
166,0.297619,0.404762,0.10714299999999999
167,0.297619,0.404762,0.10714299999999999
168,0.297619,0.452381,0.15476199999999996
169,0.297619,0.452381,0.15476199999999996
170,0.309524,0.452381,0.14285699999999996
171,0.297619,0.464286,0.16666699999999995
172,0.297619,0.47619,0.17857099999999998
173,0.297619,0.47619,0.17857099999999998
174,0.285714,0.5,0.21428599999999998
175,0.285714,0.488095,0.20238099999999998
176,0.285714,0.5,0.21428599999999998
177,0.297619,0.5,0.20238099999999998
178,0.297619,0.488095,0.19047599999999998
179,0.297619,0.488095,0.19047599999999998
180,0.285714,0.5,0.21428599999999998
181,0.285714,0.5,0.21428599999999998
182,0.285714,0.5,0.21428599999999998
183,0.285714,0.5,0.21428599999999998
184,0.285714,0.5,0.21428599999999998
185,0.285714,0.511905,0.22619100000000003
186,0.285714,0.511905,0.22619100000000003
187,0.285714,0.511905,0.22619100000000003
188,0.285714,0.511905,0.22619100000000003
189,0.285714,0.511905,0.22619100000000003
190,0.285714,0.511905,0.22619100000000003
191,0.285714,0.511905,0.22619100000000003
192,0.285714,0.511905,0.22619100000000003
193,0.285714,0.511905,0.22619100000000003
194,0.297619,0.511905,0.21428600000000003
195,0.297619,0.511905,0.21428600000000003
196,0.297619,0.511905,0.21428600000000003
197,0.297619,0.511905,0.21428600000000003
198,0.297619,0.5,0.20238099999999998
199,0.297619,0.5,0.20238099999999998
200,0.285714,0.5,0.21428599999999998
