epoch,checkpoint_file,checkpoint_path,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tn_at_r995,fn_at_r995,tn_at_r990,fn_at_r990
24,epoch23.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_024.pt,1.141126,0.11,0.21,0.428571,0.52381,0.912281,0.904762,36,2,44,4
25,epoch24.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_025.pt,1.311921,0.26,0.31,0.52381,0.571429,0.920354,0.896825,44,2,48,4
26,epoch25.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_026.pt,1.247081,0.1,0.16,0.333333,0.464286,0.902386,0.914683,28,2,39,4
27,epoch26.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_027.pt,1.296782,0.32,0.4,0.404762,0.5,0.908297,0.90873,34,2,42,4
28,epoch27.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_028.pt,1.048383,0.18,0.3,0.440476,0.559524,0.918322,0.89881,37,2,47,4
29,epoch28.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_029.pt,1.262329,0.24,0.42,0.214286,0.464286,0.902386,0.914683,18,2,39,4
30,epoch29.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_030.pt,1.303794,0.12,0.35,0.392857,0.595238,0.924444,0.892857,33,2,50,4
31,epoch30.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_031.pt,1.179519,0.06,0.13,0.178571,0.464286,0.902386,0.914683,15,2,39,4
32,epoch31.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_032.pt,1.352645,0.12,0.18,0.202381,0.333333,0.881356,0.936508,17,2,28,4
33,epoch32.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate\yolo11x_gate2_formal_200ep\weights\epoch_033.pt,1.025875,0.21,0.36,0.345238,0.5,0.908297,0.90873,29,2,42,4
