threshold,precision,recall,f1,tp,fn,fp,tn
0.999998,1.0,0.22,0.360656,132,468,0,120
0.999998,1.0,0.223333,0.365123,134,466,0,120
0.999998,1.0,0.223333,0.365123,134,466,0,120
0.999998,1.0,0.226667,0.369565,136,464,0,120
0.999997,1.0,0.228333,0.371777,137,463,0,120
0.999997,1.0,0.23,0.373984,138,462,0,120
0.999997,1.0,0.231667,0.376184,139,461,0,120
0.999997,1.0,0.233333,0.378378,140,460,0,120
0.999997,1.0,0.235,0.380567,141,459,0,120
0.999997,1.0,0.235,0.380567,141,459,0,120
0.999997,1.0,0.238333,0.384926,143,457,0,120
0.999996,1.0,0.238333,0.384926,143,457,0,120
0.999996,1.0,0.241667,0.389262,145,455,0,120
0.999996,1.0,0.243333,0.391421,146,454,0,120
0.999996,1.0,0.245,0.393574,147,453,0,120
0.999996,1.0,0.245,0.393574,147,453,0,120
0.999996,1.0,0.246667,0.395722,148,452,0,120
0.999996,1.0,0.248333,0.397864,149,451,0,120
0.999996,1.0,0.251667,0.40213,151,449,0,120
0.999995,1.0,0.253333,0.404255,152,448,0,120
0.999995,1.0,0.253333,0.404255,152,448,0,120
0.999995,1.0,0.255,0.406375,153,447,0,120
0.999995,1.0,0.258333,0.410596,155,445,0,120
0.999995,1.0,0.258333,0.410596,155,445,0,120
0.999995,1.0,0.26,0.412698,156,444,0,120
0.999995,1.0,0.261667,0.414795,157,443,0,120
0.999994,1.0,0.263333,0.416887,158,442,0,120
0.999994,1.0,0.266667,0.421053,160,440,0,120
0.999994,1.0,0.266667,0.421053,160,440,0,120
0.999994,1.0,0.268333,0.423127,161,439,0,120
0.999994,1.0,0.271667,0.427261,163,437,0,120
0.999994,1.0,0.273333,0.429319,164,436,0,120
0.999994,1.0,0.275,0.431373,165,435,0,120
0.999993,1.0,0.275,0.431373,165,435,0,120
0.999993,1.0,0.276667,0.43342,166,434,0,120
0.999993,1.0,0.278333,0.435463,167,433,0,120
0.999992,1.0,0.281667,0.439532,169,431,0,120
0.999992,1.0,0.283333,0.441558,170,430,0,120
0.999992,1.0,0.285,0.44358,171,429,0,120
0.999992,1.0,0.285,0.44358,171,429,0,120
0.999991,1.0,0.286667,0.445596,172,428,0,120
0.999991,1.0,0.29,0.449612,174,426,0,120
0.999991,1.0,0.291667,0.451613,175,425,0,120
0.999991,1.0,0.293333,0.453608,176,424,0,120
0.99999,1.0,0.293333,0.453608,176,424,0,120
0.99999,1.0,0.295,0.455598,177,423,0,120
0.99999,1.0,0.296667,0.457584,178,422,0,120
0.999989,1.0,0.298333,0.459564,179,421,0,120
0.999989,1.0,0.3,0.461538,180,420,0,120
0.999988,1.0,0.303333,0.465473,182,418,0,120
0.999987,1.0,0.305,0.467433,183,417,0,120
0.999987,1.0,0.306667,0.469388,184,416,0,120
0.999986,1.0,0.308333,0.471338,185,415,0,120
0.999986,1.0,0.31,0.473282,186,414,0,120
0.999986,1.0,0.311667,0.475222,187,413,0,120
0.999986,1.0,0.311667,0.475222,187,413,0,120
0.999985,1.0,0.315,0.479087,189,411,0,120
0.999984,1.0,0.315,0.479087,189,411,0,120
0.999982,1.0,0.316667,0.481013,190,410,0,120
0.999982,1.0,0.32,0.484848,192,408,0,120
0.999981,1.0,0.32,0.484848,192,408,0,120
0.99998,1.0,0.321667,0.486759,193,407,0,120
0.99998,1.0,0.323333,0.488665,194,406,0,120
0.999978,1.0,0.326667,0.492462,196,404,0,120
0.999977,1.0,0.326667,0.492462,196,404,0,120
0.999977,1.0,0.328333,0.494354,197,403,0,120
0.999976,1.0,0.331667,0.498123,199,401,0,120
0.999975,1.0,0.333333,0.5,200,400,0,120
0.999975,1.0,0.333333,0.5,200,400,0,120
0.999974,1.0,0.335,0.501873,201,399,0,120
0.999971,1.0,0.338333,0.505604,203,397,0,120
0.99997,1.0,0.338333,0.505604,203,397,0,120
0.99997,1.0,0.34,0.507463,204,396,0,120
0.99997,1.0,0.341667,0.509317,205,395,0,120
0.999968,1.0,0.345,0.513011,207,393,0,120
0.999968,1.0,0.346667,0.514851,208,392,0,120
0.999968,1.0,0.346667,0.514851,208,392,0,120
0.999967,1.0,0.35,0.518519,210,390,0,120
0.999966,1.0,0.35,0.518519,210,390,0,120
0.999965,1.0,0.353333,0.522167,212,388,0,120
0.999965,1.0,0.353333,0.522167,212,388,0,120
0.999964,1.0,0.356667,0.525799,214,386,0,120
0.999964,1.0,0.356667,0.525799,214,386,0,120
0.999963,1.0,0.36,0.529412,216,384,0,120
0.999963,1.0,0.361667,0.531212,217,383,0,120
0.999963,1.0,0.361667,0.531212,217,383,0,120
0.999962,1.0,0.363333,0.533007,218,382,0,120
0.999962,1.0,0.365,0.534799,219,381,0,120
0.999961,1.0,0.366667,0.536585,220,380,0,120
0.999961,1.0,0.368333,0.538368,221,379,0,120
0.999959,1.0,0.37,0.540146,222,378,0,120
0.999959,1.0,0.371667,0.54192,223,377,0,120
0.999958,1.0,0.373333,0.543689,224,376,0,120
0.999956,1.0,0.375,0.545455,225,375,0,120
0.999956,1.0,0.376667,0.547215,226,374,0,120
0.999956,0.995614,0.378333,0.548309,227,373,1,119
0.999956,0.995614,0.378333,0.548309,227,373,1,119
0.999955,0.995633,0.38,0.55006,228,372,1,119
0.999954,0.995652,0.381667,0.551807,229,371,1,119
0.999953,0.99569,0.385,0.555288,231,369,1,119
0.999953,0.995708,0.386667,0.557023,232,368,1,119
0.999953,0.995708,0.386667,0.557023,232,368,1,119
0.999953,0.995745,0.39,0.560479,234,366,1,119
0.999952,0.995745,0.39,0.560479,234,366,1,119
0.999952,0.995763,0.391667,0.562201,235,365,1,119
0.999952,0.995798,0.395,0.565632,237,363,1,119
0.99995,0.995798,0.395,0.565632,237,363,1,119
0.999947,0.995816,0.396667,0.567342,238,362,1,119
0.999945,0.995851,0.4,0.570749,240,360,1,119
0.999944,0.995851,0.4,0.570749,240,360,1,119
0.99994,0.995868,0.401667,0.572447,241,359,1,119
0.999934,0.995902,0.405,0.575829,243,357,1,119
0.999933,0.995902,0.405,0.575829,243,357,1,119
0.99993,0.995918,0.406667,0.577515,244,356,1,119
0.99993,0.995935,0.408333,0.579196,245,355,1,119
0.999928,0.995968,0.411667,0.582547,247,353,1,119
0.999926,0.995984,0.413333,0.584217,248,352,1,119
0.999926,0.995984,0.413333,0.584217,248,352,1,119
0.999926,0.996016,0.416667,0.587544,250,350,1,119
0.99992,0.996016,0.416667,0.587544,250,350,1,119
0.999915,0.996032,0.418333,0.589202,251,349,1,119
0.999914,0.996063,0.421667,0.592506,253,347,1,119
0.999913,0.996063,0.421667,0.592506,253,347,1,119
0.999912,0.996094,0.425,0.595794,255,345,1,119
0.999909,0.996094,0.425,0.595794,255,345,1,119
