gt_label,pred_label,count,rate_within_gt
Roots,JointAnomaly,21,0.175
WallDamage,DepositAttachment,20,0.166667
WallDamage,JointAnomaly,16,0.133333
JointAnomaly,Roots,15,0.125
DepositAttachment,WallDamage,14,0.116667
DepositAttachment,JointAnomaly,13,0.108333
JointAnomaly,WallDamage,13,0.108333
DepositAttachment,Deformation,10,0.083333
Normal,WallDamage,10,0.083333
Roots,WallDamage,9,0.075
JointAnomaly,DepositAttachment,8,0.066667
WallDamage,Normal,8,0.066667
Deformation,Normal,7,0.058333
WallDamage,Roots,7,0.058333
Deformation,DepositAttachment,6,0.05
DepositAttachment,Roots,6,0.05
DepositAttachment,Normal,5,0.041667
Normal,Deformation,5,0.041667
Normal,DepositAttachment,5,0.041667
JointAnomaly,Normal,4,0.033333
Normal,JointAnomaly,4,0.033333
Deformation,WallDamage,3,0.025
Roots,DepositAttachment,3,0.025
WallDamage,Deformation,3,0.025
Normal,Roots,2,0.016667
Deformation,JointAnomaly,1,0.008333
Deformation,Roots,1,0.008333
Roots,Normal,1,0.008333
