actual_label,Deformation,DepositAttachment,JointAnomaly,Normal,Roots,WallDamage
Deformation,0.85,0.05,0.008333,0.058333,0.008333,0.025
DepositAttachment,0.083333,0.6,0.108333,0.041667,0.05,0.116667
JointAnomaly,0.0,0.066667,0.666667,0.033333,0.125,0.108333
Normal,0.041667,0.041667,0.033333,0.783333,0.016667,0.083333
Roots,0.0,0.025,0.175,0.008333,0.716667,0.075
WallDamage,0.025,0.166667,0.133333,0.066667,0.058333,0.55
