source_path,source_bytes,source_sha256,node_id,experiment_id,run_name,status,duration_sec,duration_hours,model_key,epochs,batch,imgsz,workers,training_seed,train_image_count,gpu_name,python_version,torch_version
artifacts/stage1_phase1_hn_rn_40runs_20260630_redownload/materials_extract/stage1_phase1_hn_rn_20260623/node11/HN-15/materials/run_dir/run_meta.json,4994,251AD6CAFFD37CE56DA910D2141AA84BF08BAE3ADC8F576863927AA2D84D6F40,11,HN-15,full_yolo11l_cls_20260624-014853,ok,56294.42,15.637338888888888,l,200,128,224,4,20260606,129000,NVIDIA GeForce RTX 3090,3.11.15,2.11.0+cu128
artifacts/stage1_phase1_hn_rn_40runs_20260630_redownload/materials_extract/stage1_phase1_hn_rn_20260623/node11/HN-16/materials/run_dir/run_meta.json,4994,32E5E27D804500852C62F3D200712C397D25253EC23E2A0DA33D72BBC3742A50,11,HN-16,full_yolo11l_cls_20260625-110508,ok,57617.11,16.004752777777778,l,200,128,224,4,20260606,129600,NVIDIA GeForce RTX 3090,3.11.15,2.11.0+cu128
artifacts/stage1_phase1_hn_rn_40runs_20260630_redownload/materials_extract/stage1_phase1_hn_rn_20260623/node11/RN-15/materials/run_dir/run_meta.json,4994,C2A93E4331E2866F00BACB63030B746EDAF310EE9D92F39723EDD8F07F981ACC,11,RN-15,full_yolo11l_cls_20260624-180834,ok,58525.17,16.256991666666668,l,200,128,224,4,20260606,129000,NVIDIA GeForce RTX 3090,3.11.15,2.11.0+cu128
artifacts/stage1_phase1_hn_rn_40runs_20260630_redownload/materials_extract/stage1_phase1_hn_rn_20260623/node11/RN-16/materials/run_dir/run_meta.json,4993,7C12BC33696A957C3BFF1C8DC6DD970351701A6A0F32BDA368C04213AF5F8467,11,RN-16,full_yolo11l_cls_20260626-034635,ok,58767.0,16.324166666666667,l,200,128,224,4,20260606,129600,NVIDIA GeForce RTX 3090,3.11.15,2.11.0+cu128
artifacts/stage1_phase1_hn_rn_40runs_20260630_redownload/materials_extract/stage1_phase1_hn_rn_20260623/node13/HN-13/materials/run_dir/run_meta.json,11890,A0BE6C14DCC2A91C41DAD6BDAEC8AC1261B34C8E44222EC33521778C081D14B6,13,HN-13,full_yolo11l_cls_20260624-012755,ok,53270.47,14.797352777777778,l,200,128,224,4,20260606,127800,NVIDIA GeForce RTX 3090,3.11.15,2.11.0+cu128
artifacts/stage1_phase1_hn_rn_40runs_20260630_redownload/materials_extract/stage1_phase1_hn_rn_20260623/node13/HN-14/materials/run_dir/run_meta.json,11890,D44888B5C1FFD4B9B5B03A80345D63643AC906AE083B39EE58499D7BAEB4AD57,13,HN-14,full_yolo11l_cls_20260625-080727,ok,54854.48,15.237355555555556,l,200,128,224,4,20260606,128400,NVIDIA GeForce RTX 3090,3.11.15,2.11.0+cu128
artifacts/stage1_phase1_hn_rn_40runs_20260630_redownload/materials_extract/stage1_phase1_hn_rn_20260623/node13/RN-13/materials/run_dir/run_meta.json,11889,099CA04D54D7AF148D74538BF24CE0A38B039C7BA07BA0E2EEA0A7E0ACED871A,13,RN-13,full_yolo11l_cls_20260624-163603,ok,55020.5,15.283472222222223,l,200,128,224,4,20260606,127800,NVIDIA GeForce RTX 3090,3.11.15,2.11.0+cu128
artifacts/stage1_phase1_hn_rn_40runs_20260630_redownload/materials_extract/stage1_phase1_hn_rn_20260623/node13/RN-14/materials/run_dir/run_meta.json,11890,3973E4A56047B00D0030106E92E9E764CF3BD4584720475C7D0C900375222121,13,RN-14,full_yolo11l_cls_20260625-233619,ok,55611.65,15.447680555555555,l,200,128,224,4,20260606,128400,NVIDIA GeForce RTX 3090,3.11.15,2.11.0+cu128
artifacts/stage1_phase1_hn_rn_40runs_20260630_redownload/materials_extract/stage1_phase1_hn_rn_20260623/node15/HN-11/materials/run_dir/run_meta.json,4994,BE3054A037A4D19EEAFFEE2AC9F4B63E2C16E5D4B92A22C811EEA0E1BDF0B35E,15,HN-11,full_yolo11l_cls_20260624-010259,ok,56062.84,15.57301111111111,l,200,128,224,4,20260606,126600,NVIDIA GeForce RTX 3090,3.11.15,2.11.0+cu128
artifacts/stage1_phase1_hn_rn_40runs_20260630_redownload/materials_extract/stage1_phase1_hn_rn_20260623/node15/HN-12/materials/run_dir/run_meta.json,4994,01C66D858BB9D60F6D6CDE4EB835B1E9E411CE338FB28898C0327AEC088ECA55,15,HN-12,full_yolo11l_cls_20260625-101213,ok,57884.73,16.079091666666667,l,200,128,224,4,20260606,127200,NVIDIA GeForce RTX 3090,3.11.15,2.11.0+cu128
artifacts/stage1_phase1_hn_rn_40runs_20260630_redownload/materials_extract/stage1_phase1_hn_rn_20260623/node15/RN-11/materials/run_dir/run_meta.json,4994,3B57D44DCFB5F605DD68144287DD0279F53F2373AD27E4DD831EAC5EFFF05032,15,RN-11,full_yolo11l_cls_20260624-171729,ok,58458.58,16.238494444444445,l,200,128,224,4,20260606,126600,NVIDIA GeForce RTX 3090,3.11.15,2.11.0+cu128
artifacts/stage1_phase1_hn_rn_40runs_20260630_redownload/materials_extract/stage1_phase1_hn_rn_20260623/node15/RN-12/materials/run_dir/run_meta.json,4994,CD67CF83EADA6B8904B72175882AE0EF84C31D770B807C6EF811500F40D70C33,15,RN-12,full_yolo11l_cls_20260626-032843,ok,59114.64,16.420733333333335,l,200,128,224,4,20260606,127200,NVIDIA GeForce RTX 3090,3.11.15,2.11.0+cu128
artifacts/stage1_phase1_hn_rn_40runs_20260630_redownload/materials_extract/stage1_phase1_hn_rn_20260623/node16/HN-17/materials/run_dir/run_meta.json,4993,59FE08E9D65485843F111CFEE3C9F9DF20E2E92A058080DE0D55011CB545E1D4,16,HN-17,full_yolo11l_cls_20260624-021928,ok,59856.4,16.62677777777778,l,200,128,224,4,20260606,130200,NVIDIA GeForce RTX 3090,3.11.15,2.11.0+cu128
