epoch,checkpoint_file,checkpoint_path,checkpoint_exists,evaluated,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990
1,epoch_001.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_001.pt,1,1,1.391021,0.18,0.19,0.511905,0.535714,0.914286,0.902778
2,epoch_002.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_002.pt,1,1,1.483579,0.13,0.14,0.392857,0.404762,0.892934,0.926587
3,epoch_003.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_003.pt,1,1,1.639662,0.11,0.17,0.25,0.380952,0.888889,0.928571
4,epoch_004.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_004.pt,1,1,1.118111,0.11,0.19,0.345238,0.464286,0.902386,0.914683
5,epoch_005.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_005.pt,1,1,1.258631,0.28,0.29,0.52381,0.547619,0.9163,0.900794
6,epoch_006.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_006.pt,1,1,1.028689,0.11,0.18,0.25,0.345238,0.883227,0.934524
7,epoch_007.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_007.pt,1,1,0.94987,0.1,0.13,0.321429,0.369048,0.886994,0.930556
8,epoch_008.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_008.pt,1,1,1.289068,0.15,0.19,0.404762,0.47619,0.904348,0.912698
9,epoch_009.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_009.pt,1,1,1.32157,0.28,0.3,0.428571,0.452381,0.900433,0.916667
10,epoch_010.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_010.pt,1,1,1.43513,0.16,0.2,0.440476,0.47619,0.904348,0.912698
11,epoch_011.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_011.pt,1,1,1.428945,0.24,0.27,0.47619,0.535714,0.914286,0.902778
12,epoch_012.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_012.pt,1,1,1.66532,0.13,0.21,0.321429,0.488095,0.906318,0.910714
13,epoch_013.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_013.pt,1,1,1.748014,0.17,0.21,0.22619,0.297619,0.875789,0.94246
14,epoch_014.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_014.pt,1,1,1.314117,0.21,0.27,0.416667,0.464286,0.902386,0.914683
15,epoch_015.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_015.pt,1,1,2.007753,0.24,0.38,0.25,0.440476,0.898488,0.918651
16,epoch_016.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_016.pt,1,1,1.567384,0.19,0.23,0.309524,0.345238,0.883227,0.934524
17,epoch_017.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_017.pt,1,1,1.435777,0.16,0.2,0.345238,0.416667,0.894624,0.922619
18,epoch_018.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_018.pt,1,1,1.462201,0.16,0.25,0.27381,0.440476,0.898488,0.918651
19,epoch_019.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_019.pt,1,1,1.309475,0.12,0.18,0.357143,0.464286,0.902386,0.914683
20,epoch_020.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_020.pt,1,1,1.674554,0.1,0.12,0.261905,0.333333,0.881356,0.936508
21,epoch_021.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_021.pt,1,1,1.749107,0.17,0.23,0.357143,0.440476,0.898488,0.918651
22,epoch_022.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_022.pt,1,1,1.838967,0.1,0.15,0.297619,0.369048,0.886994,0.930556
23,epoch_023.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_023.pt,1,1,1.311413,0.11,0.12,0.321429,0.333333,0.881607,0.938492
24,epoch_024.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_024.pt,1,1,1.632898,0.22,0.26,0.369048,0.428571,0.896552,0.920635
25,epoch_025.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_025.pt,1,1,1.730647,0.27,0.34,0.345238,0.440476,0.898488,0.918651
26,epoch_026.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_026.pt,1,1,1.662064,0.09,0.18,0.238095,0.464286,0.902386,0.914683
27,epoch_027.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_027.pt,1,1,1.800997,0.08,0.23,0.119048,0.392857,0.891026,0.928571
28,epoch_028.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_028.pt,1,1,1.526699,0.18,0.23,0.488095,0.535714,0.914286,0.902778
29,epoch_029.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_029.pt,1,1,1.685225,0.21,0.22,0.428571,0.452381,0.900648,0.918651
30,epoch_030.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_030.pt,1,1,1.555482,0.11,0.11,0.357143,0.357143,0.885593,0.936508
31,epoch_031.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_031.pt,1,1,1.577031,0.09,0.18,0.214286,0.416667,0.894624,0.922619
32,epoch_032.pt,H:\stage1_HN_l_pt_files\checkpoints\stage1_formal_gate_hn\yolo11l_gate2_formal_hn12_200ep\weights\epoch_032.pt,1,1,1.78161,0.17,0.22,0.452381,0.488095,0.906318,0.910714
