bin_index,lower,upper,count,avg_confidence,empirical_positive_rate,gap
0,0.0,0.1,80,0.012889,0.1,0.087111
1,0.1,0.2,7,0.140435,0.285714,0.145279
2,0.2,0.3,3,0.247145,0.333333,0.086188
3,0.3,0.4,3,0.384863,1.0,0.615137
4,0.4,0.5,5,0.447974,0.2,0.247974
5,0.5,0.6,3,0.546184,0.0,0.546184
6,0.6,0.7,10,0.644423,0.6,0.044423
7,0.7,0.8,10,0.737398,0.7,0.037398
8,0.8,0.9,10,0.860333,0.9,0.039667
9,0.9,1.0,589,0.997144,0.955857,0.041287
