threshold,tpr,recall,fpr,specificity,tp,fn,fp,tn
1.0,0.2,0.2,0.0,1.0,120,480,0,120
1.0,0.2,0.2,0.0,1.0,120,480,0,120
1.0,0.203333,0.203333,0.0,1.0,122,478,0,120
1.0,0.203333,0.203333,0.0,1.0,122,478,0,120
1.0,0.206667,0.206667,0.0,1.0,124,476,0,120
1.0,0.208333,0.208333,0.0,1.0,125,475,0,120
1.0,0.208333,0.208333,0.0,1.0,125,475,0,120
1.0,0.211667,0.211667,0.0,1.0,127,473,0,120
1.0,0.211667,0.211667,0.0,1.0,127,473,0,120
1.0,0.213333,0.213333,0.0,1.0,128,472,0,120
1.0,0.216667,0.216667,0.0,1.0,130,470,0,120
1.0,0.216667,0.216667,0.0,1.0,130,470,0,120
1.0,0.218333,0.218333,0.0,1.0,131,469,0,120
1.0,0.22,0.22,0.0,1.0,132,468,0,120
1.0,0.221667,0.221667,0.0,1.0,133,467,0,120
1.0,0.223333,0.223333,0.0,1.0,134,466,0,120
1.0,0.226667,0.226667,0.0,1.0,136,464,0,120
1.0,0.226667,0.226667,0.0,1.0,136,464,0,120
1.0,0.228333,0.228333,0.0,1.0,137,463,0,120
1.0,0.231667,0.231667,0.0,1.0,139,461,0,120
1.0,0.233333,0.233333,0.0,1.0,140,460,0,120
1.0,0.233333,0.233333,0.0,1.0,140,460,0,120
1.0,0.235,0.235,0.0,1.0,141,459,0,120
1.0,0.238333,0.238333,0.0,1.0,143,457,0,120
1.0,0.24,0.24,0.0,1.0,144,456,0,120
1.0,0.24,0.24,0.0,1.0,144,456,0,120
1.0,0.243333,0.243333,0.0,1.0,146,454,0,120
1.0,0.245,0.245,0.0,1.0,147,453,0,120
1.0,0.246667,0.246667,0.0,1.0,148,452,0,120
1.0,0.246667,0.246667,0.0,1.0,148,452,0,120
1.0,0.25,0.25,0.0,1.0,150,450,0,120
1.0,0.251667,0.251667,0.0,1.0,151,449,0,120
1.0,0.251667,0.251667,0.0,1.0,151,449,0,120
1.0,0.253333,0.253333,0.0,1.0,152,448,0,120
1.0,0.256667,0.256667,0.0,1.0,154,446,0,120
1.0,0.258333,0.258333,0.0,1.0,155,445,0,120
1.0,0.26,0.26,0.0,1.0,156,444,0,120
1.0,0.261667,0.261667,0.0,1.0,157,443,0,120
1.0,0.261667,0.261667,0.0,1.0,157,443,0,120
1.0,0.265,0.265,0.0,1.0,159,441,0,120
1.0,0.266667,0.266667,0.0,1.0,160,440,0,120
1.0,0.266667,0.266667,0.0,1.0,160,440,0,120
1.0,0.27,0.27,0.0,1.0,162,438,0,120
1.0,0.271667,0.271667,0.0,1.0,163,437,0,120
1.0,0.271667,0.271667,0.0,1.0,163,437,0,120
1.0,0.273333,0.273333,0.0,1.0,164,436,0,120
1.0,0.275,0.275,0.008333,0.991667,165,435,1,119
1.0,0.275,0.275,0.008333,0.991667,165,435,1,119
1.0,0.276667,0.276667,0.008333,0.991667,166,434,1,119
1.0,0.278333,0.278333,0.008333,0.991667,167,433,1,119
1.0,0.28,0.28,0.008333,0.991667,168,432,1,119
1.0,0.283333,0.283333,0.008333,0.991667,170,430,1,119
1.0,0.285,0.285,0.008333,0.991667,171,429,1,119
1.0,0.286667,0.286667,0.008333,0.991667,172,428,1,119
1.0,0.286667,0.286667,0.008333,0.991667,172,428,1,119
1.0,0.288333,0.288333,0.008333,0.991667,173,427,1,119
1.0,0.291667,0.291667,0.008333,0.991667,175,425,1,119
1.0,0.291667,0.291667,0.008333,0.991667,175,425,1,119
1.0,0.293333,0.293333,0.008333,0.991667,176,424,1,119
1.0,0.296667,0.296667,0.008333,0.991667,178,422,1,119
1.0,0.296667,0.296667,0.008333,0.991667,178,422,1,119
1.0,0.3,0.3,0.008333,0.991667,180,420,1,119
1.0,0.3,0.3,0.008333,0.991667,180,420,1,119
1.0,0.301667,0.301667,0.008333,0.991667,181,419,1,119
1.0,0.303333,0.303333,0.008333,0.991667,182,418,1,119
1.0,0.306667,0.306667,0.008333,0.991667,184,416,1,119
1.0,0.306667,0.306667,0.008333,0.991667,184,416,1,119
1.0,0.308333,0.308333,0.008333,0.991667,185,415,1,119
1.0,0.31,0.31,0.008333,0.991667,186,414,1,119
1.0,0.313333,0.313333,0.008333,0.991667,188,412,1,119
1.0,0.313333,0.313333,0.008333,0.991667,188,412,1,119
1.0,0.315,0.315,0.016667,0.983333,189,411,2,118
1.0,0.316667,0.316667,0.016667,0.983333,190,410,2,118
1.0,0.318333,0.318333,0.016667,0.983333,191,409,2,118
1.0,0.32,0.32,0.016667,0.983333,192,408,2,118
1.0,0.321667,0.321667,0.016667,0.983333,193,407,2,118
