operating_point,before_threshold,after_threshold,before_specificity,after_specificity,before_precision,after_precision,before_ptr,after_ptr
recall_ge_99_5,0.02,0.16,0.404762,0.428571,0.89339,0.896996,0.930556,0.924603
recall_ge_99_0,0.05,0.22,0.464286,0.47619,0.902597,0.904348,0.916667,0.912698
recall_ge_98_0,0.3,0.37,0.654762,0.630952,0.93424,0.930337,0.875,0.882937
