bin_index,lower,upper,count,avg_confidence,empirical_positive_rate,gap
0,0.0,0.1,31,0.051507,0.032258,0.019248
1,0.1,0.2,10,0.13382,0.2,0.06618
2,0.2,0.3,10,0.249754,0.1,0.149754
3,0.3,0.4,9,0.348332,0.333333,0.014999
4,0.4,0.5,9,0.455986,0.333333,0.122653
5,0.5,0.6,13,0.5538,0.461538,0.092261
6,0.6,0.7,10,0.648101,0.6,0.048101
7,0.7,0.8,22,0.751653,0.863636,0.111983
8,0.8,0.9,40,0.858642,0.925,0.066358
9,0.9,1.0,350,0.981015,0.977143,0.003872
