epoch,checkpoint_file,checkpoint_path,checkpoint_exists,evaluated,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990
153,epoch152.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch152.pt,1,1,3.603065,0.22,0.32,0.404762,0.511905,0.910284,0.906746
154,epoch153.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch153.pt,1,1,3.604143,0.21,0.32,0.404762,0.511905,0.910284,0.906746
155,epoch154.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch154.pt,1,1,3.60774,0.21,0.33,0.404762,0.511905,0.910284,0.906746
156,epoch155.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch155.pt,1,1,3.61311,0.24,0.33,0.428571,0.511905,0.910284,0.906746
157,epoch156.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch156.pt,1,1,3.606905,0.22,0.33,0.428571,0.511905,0.910284,0.906746
158,epoch157.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch157.pt,1,1,3.603861,0.22,0.34,0.440476,0.535714,0.914286,0.902778
159,epoch158.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch158.pt,1,1,3.601863,0.2,0.34,0.416667,0.559524,0.918322,0.89881
160,epoch159.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch159.pt,1,1,3.599232,0.19,0.34,0.392857,0.559524,0.918322,0.89881
161,epoch160.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch160.pt,1,1,3.586206,0.18,0.34,0.380952,0.559524,0.918322,0.89881
162,epoch161.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch161.pt,1,1,3.569534,0.18,0.34,0.404762,0.547619,0.9163,0.900794
163,epoch162.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch162.pt,1,1,3.554995,0.17,0.31,0.357143,0.52381,0.912281,0.904762
164,epoch163.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch163.pt,1,1,3.55275,0.16,0.32,0.345238,0.535714,0.914286,0.902778
165,epoch164.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch164.pt,1,1,3.552282,0.16,0.31,0.345238,0.535714,0.914286,0.902778
166,epoch165.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch165.pt,1,1,3.549691,0.17,0.31,0.345238,0.535714,0.914286,0.902778
167,epoch166.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch166.pt,1,1,3.554263,0.17,0.31,0.345238,0.547619,0.9163,0.900794
168,epoch167.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch167.pt,1,1,3.553411,0.16,0.31,0.333333,0.52381,0.912281,0.904762
169,epoch168.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch168.pt,1,1,3.554082,0.16,0.31,0.333333,0.52381,0.912281,0.904762
170,epoch169.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch169.pt,1,1,3.552253,0.16,0.31,0.345238,0.52381,0.912281,0.904762
171,epoch170.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch170.pt,1,1,3.549639,0.16,0.28,0.345238,0.511905,0.910284,0.906746
172,epoch171.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch171.pt,1,1,3.549752,0.16,0.27,0.345238,0.511905,0.910284,0.906746
173,epoch172.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch172.pt,1,1,3.54963,0.16,0.28,0.345238,0.511905,0.910284,0.906746
174,epoch173.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch173.pt,1,1,3.551311,0.15,0.29,0.333333,0.511905,0.910284,0.906746
175,epoch174.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch174.pt,1,1,3.555462,0.15,0.29,0.345238,0.511905,0.910284,0.906746
176,epoch175.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch175.pt,1,1,3.560327,0.15,0.3,0.345238,0.511905,0.910284,0.906746
177,epoch176.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch176.pt,1,1,3.559841,0.14,0.3,0.321429,0.511905,0.910284,0.906746
178,epoch177.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch177.pt,1,1,3.561765,0.14,0.3,0.333333,0.511905,0.910284,0.906746
179,epoch178.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch178.pt,1,1,3.563453,0.14,0.32,0.333333,0.52381,0.912281,0.904762
180,epoch179.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch179.pt,1,1,3.566792,0.14,0.31,0.333333,0.511905,0.910284,0.906746
181,epoch180.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch180.pt,1,1,3.573298,0.14,0.33,0.333333,0.52381,0.912281,0.904762
182,epoch181.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch181.pt,1,1,3.577792,0.14,0.33,0.333333,0.52381,0.912281,0.904762
183,epoch182.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch182.pt,1,1,3.581636,0.14,0.33,0.333333,0.52381,0.912281,0.904762
184,epoch183.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch183.pt,1,1,3.586512,0.14,0.33,0.333333,0.52381,0.912281,0.904762
185,epoch184.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch184.pt,1,1,3.592105,0.14,0.33,0.333333,0.52381,0.912281,0.904762
186,epoch185.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch185.pt,1,1,3.597437,0.14,0.33,0.333333,0.52381,0.912281,0.904762
187,epoch186.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch186.pt,1,1,3.60428,0.13,0.34,0.321429,0.52381,0.912281,0.904762
188,epoch187.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch187.pt,1,1,3.611019,0.13,0.33,0.321429,0.511905,0.910284,0.906746
189,epoch188.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch188.pt,1,1,3.616404,0.13,0.33,0.321429,0.511905,0.910284,0.906746
190,epoch189.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch189.pt,1,1,3.621849,0.13,0.3,0.321429,0.5,0.908297,0.90873
191,epoch190.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch190.pt,1,1,3.628681,0.13,0.3,0.321429,0.5,0.908297,0.90873
192,epoch191.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch191.pt,1,1,3.634108,0.13,0.3,0.321429,0.5,0.908297,0.90873
193,epoch192.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch192.pt,1,1,3.639412,0.13,0.3,0.321429,0.5,0.908297,0.90873
194,epoch193.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch193.pt,1,1,3.645189,0.15,0.3,0.333333,0.5,0.908297,0.90873
195,epoch194.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch194.pt,1,1,3.649908,0.15,0.3,0.333333,0.5,0.908297,0.90873
196,epoch195.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch195.pt,1,1,3.654374,0.15,0.3,0.333333,0.5,0.908297,0.90873
197,epoch196.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch196.pt,1,1,3.659699,0.15,0.29,0.333333,0.5,0.908297,0.90873
198,epoch197.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch197.pt,1,1,3.664544,0.15,0.29,0.333333,0.5,0.908297,0.90873
199,epoch198.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch198.pt,1,1,3.669233,0.15,0.29,0.345238,0.5,0.908297,0.90873
200,epoch199.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W01\weights\epoch199.pt,1,1,3.674297,0.15,0.3,0.345238,0.5,0.908297,0.90873
