bin_index,lower,upper,count,avg_confidence,empirical_positive_rate,gap
0,0.0,0.1,25,0.052,0.0,0.052
1,0.1,0.2,14,0.152715,0.071429,0.081286
2,0.2,0.3,12,0.257069,0.25,0.007069
3,0.3,0.4,9,0.338012,0.222222,0.11579
4,0.4,0.5,8,0.463922,0.375,0.088922
5,0.5,0.6,11,0.549612,0.454545,0.095066
6,0.6,0.7,18,0.656001,0.722222,0.066221
7,0.7,0.8,23,0.759909,0.826087,0.066178
8,0.8,0.9,36,0.858638,0.916667,0.058028
9,0.9,1.0,348,0.979912,0.979885,2.7e-05
