paper_id,title,source_path,source_bytes,source_sha256,source_format,text_path,text_bytes,text_sha256,visible_characters,extraction_tool,receipt_path,reading_credit_granted
P0058,Cross-Platform Chinese Offensive Comment Detection via Dual-Threshold Hard Example Mining,staging/broad_freeze_v2/sources/P0058.pdf,1499290,FE9760A4EA79D72DBF11C2427405E453B042F6AB5B8E7E116EDCF100C65281DC,PDF,staging/screened_text_v2/text/P0058.txt,78083,53FFDB4877C5D779BD48C2A8C4EFBAB58186AFD66D4782A537601643DC82833E,43080,POPPLER_PDFTOTEXT_LAYOUT_UTF8,staging/screened_text_v2/text/P0058.txt.receipt.json,False
P0226,Curriculum Learning for Speech Emotion Recognition From Crowdsourced Labels,staging/broad_freeze_v2/sources/P0226.pdf,7211010,FCA02C46EE71B9C22A43331652B10D66606CE3E99F9B65BE26B89EFF09B66BE4,PDF,staging/screened_text_v2/text/P0226.txt,91165,6FDA6750A98287E28E921F0629E2937DFEBC360C3C36DD08BB57D266514660F7,57592,POPPLER_PDFTOTEXT_LAYOUT_UTF8,staging/screened_text_v2/text/P0226.txt.receipt.json,False
P0211,Generative Entity Typing with Curriculum Learning,staging/broad_freeze_v2/sources/P0211.pdf,821166,AF71AA13F24ACABB711E4FCD905BA9EA7543804293CE2EC8ED3D6FBE2E096C3E,PDF,staging/screened_text_v2/text/P0211.txt,72611,B8B13EC22A0CA35818750FCD62ECEE067B90A7A70A469983769B3E81E5E77F64,41383,POPPLER_PDFTOTEXT_LAYOUT_UTF8,staging/screened_text_v2/text/P0211.txt.receipt.json,False
P0284,Data Pruning via Moving-one-Sample-out,staging/broad_freeze_v2/sources/P0284.pdf,576399,5BBF6D9FE8A3525D6A8DCC9F7E3BF4EA04242B2DF2B555EBDAFEB9BF37726E55,PDF,staging/screened_text_v2/text/P0284.txt,60437,7253F5A17AABC4566724053A3FD0AE89388BD39CF2C6B9765E0187A35FB7857A,37573,POPPLER_PDFTOTEXT_LAYOUT_UTF8,staging/screened_text_v2/text/P0284.txt.receipt.json,False
P0092,Sample Selection with Uncertainty of Losses for Learning with Noisy Labels,staging/broad_freeze_v2/sources/P0092.pdf,1276395,668179BD4A809324E8FEC5375E1DB342ACC2E79FE9DE3B5DA546B464A2C7E77A,PDF,staging/screened_text_v2/text/P0092.txt,126988,025F00837A3DFEC9F710A483671D205DAA14E4E3D03EFB1B08842961FADA7C45,57471,POPPLER_PDFTOTEXT_LAYOUT_UTF8,staging/screened_text_v2/text/P0092.txt.receipt.json,False
P0345,DeepCore: A Comprehensive Library for Coreset Selection in Deep Learning,staging/broad_freeze_v2/sources/P0345.pdf,544150,F7955FFA0B04538EDFBCE92B4DAC4AC5154ACA3A4789D723FF7D2AB5B64ACA9E,PDF,staging/screened_text_v2/text/P0345.txt,51969,79D082BE87D3AF8E5559D9D06D3975566B321ADA050EC8115D245D98E327571D,37715,POPPLER_PDFTOTEXT_LAYOUT_UTF8,staging/screened_text_v2/text/P0345.txt.receipt.json,False
P0188,Hindsight Experience Replay,staging/broad_freeze_v2/sources/P0188.pdf,2464277,89DB330BB254D9C8818C61F2749CBE8F0535E8B487333409C5DC8CD8B3C89A04,PDF,staging/screened_text_v2/text/P0188.txt,60119,ED129E1E661E8AFBFD41443DA8B0695B9F5CA6D21CB9B715F0C8D082F600EDD1,41012,POPPLER_PDFTOTEXT_LAYOUT_UTF8,staging/screened_text_v2/text/P0188.txt.receipt.json,False
P0025,Unsupervised Domain Adaptation Via Data Pruning,staging/broad_freeze_v2/sources/P0025.pdf,706607,7462A5FD57EFD0B77BCE6AE14C420EF42EE393888C41FDEE6D9649E8BA69E201,PDF,staging/screened_text_v2/text/P0025.txt,30771,B7224D67CEC16C6C2E8A54EB9F743F3EA18DE48F96D90BE1B1685E783623EC99,17683,POPPLER_PDFTOTEXT_LAYOUT_UTF8,staging/screened_text_v2/text/P0025.txt.receipt.json,False
P0408,Dynamic Curriculum Learning for Great Ape Detection in the Wild,staging/broad_freeze_v2/sources/P0408.pdf,5936819,C5BB80F1BCF6FA29700A34DA1C92BF9A6786868D451F56D41C9A3FC11C0CF315,PDF,staging/screened_text_v2/text/P0408.txt,119576,4B165C5AAFD59B19A7790D1889F25502C05BE7D90D5CC97F5B3ECF993F602ADC,67924,POPPLER_PDFTOTEXT_LAYOUT_UTF8,staging/screened_text_v2/text/P0408.txt.receipt.json,False
P0091,Rethinking Data Selection at Scale: Random Selection is Almost All You Need,staging/broad_freeze_v2/sources/P0091.pdf,443364,852A3674E15D19DA82F4B57BE22EC9FA0A7119F65C7D9272658E5196C4AE4989,PDF,staging/screened_text_v2/text/P0091.txt,72538,0FC5190A5329515075C5E6442222427CBC0018E7112F82F53B412D033F7827C1,45968,POPPLER_PDFTOTEXT_LAYOUT_UTF8,staging/screened_text_v2/text/P0091.txt.receipt.json,False
