queue_id,canonical_work_id,title,direct_rqs,directness,relevance_class,reserve_reason
RGBBD3C43D8A830D70,CWB0E3CCB7EC9AEE28BE03,Self-paced learning for multi-modal fusion for alzheimer's disease diagnosis,RQ1;RQ2;RQ4;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG5E65389D3419650A,CW5E969C5574FFF7FB327B,Dynamic Sample Selection for Federated Learning with Heterogeneous Data in Fog Computing,RQ5;RQ6;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RGA6A58A7170DD750D,CW3AC29261D879935C3D0C,Hindsight Experience Replay,RQ5;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG65AD6185EC84DA30,CWC4916390383E1FB37D3D,Q-VGM: Q-Guided Value-Gradient Matching for Flow-Matching VLA Policies,RQ3;RQ5;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG3ADE3715B4112D35,CW66D63F235A33EE3864F6,Training Gradient Boosted Decision Trees on Tabular Data Containing Label Noise for Classification Tasks,RQ2;RQ4;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RGB6C56F058DC5ED57,CW976048E632C1EF36ECA6,AFLN-DGCL: Adaptive Feature Learning Network with Difficulty-Guided Curriculum Learning for skin lesion segmentation,RQ1;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RGDE74AF83D1CF9197,CWFEB448673D1871CE9211,Teacher-student curriculum learning for reinforcement learning,RQ1;RQ2;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG1AF1E9F616A399E6,CW972908AD35B6F3C4F4C8,Predicting multiple types of miRNA–disease associations using adaptive weighted nonnegative tensor factorization with self-paced learning and hypergraph regularization,RQ1;RQ4;RQ5;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RGFA9CBB79C8ABD20C,CW53D2FD8B2087BA419F27,Exploring Commonality and Individuality for Multi-Modal Curriculum Learning,RQ1;RQ3;RQ5;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG96C4FCD37EAF46A2,CWF8A6290B5B4578AC1BD5,Accuracy-based Curriculum Learning in Deep Reinforcement Learning,RQ1;RQ2;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RGB3DE315F6F039590,CW575C9DCC49B8B1FF5D99,A Class Imbalance Loss for Imbalanced Object Recognition,RQ3;RQ4,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG25D68D75CB87D4EF,CW7BA0280D5E5E57E38F18,Effects of Label Noise on Deep Learning-Based Skin Cancer Classification,RQ1;RQ8,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG4D38CC749A32D54A,CWFA3C3A1B0A4BBAEB1626,Dataset Condensation with Gradient Matching,RQ1;RQ3;RQ5;RQ6;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG01FDB08536796CF8,CW94EB0ED14DC1295A0C8C,"Optimizing the Sample Selection of Machine Learning Models for Landslide Susceptibility Prediction Using Information Value Models in the Dabie Mountain Area of Anhui, China",RQ4;RQ5;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG9A17F6701388EEB5,CW83B778A18565450B091F,Continual Learning with Strong Experience Replay,RQ5;RQ6;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG59D71061A4A82A64,CW86CA40B23FC456AF4511,DONOD: Efficient and Generalizable Instruction Fine-Tuning for LLMs via Model-Intrinsic Dataset Pruning,RQ1;RQ3;RQ4;RQ5,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG6CCCA8213C89C6C4,CWBDB8BDF328005930B6E2,Traceprop: End-to-End Provenance-Guided Data Attribution for Auditable Machine Learning,RQ3;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RGDA7D0C9BC2C441E7,CWA70D77D1C26E618FB349,Goal-guided greedy experience replay-enhanced reinforcement learning for efficient autonomous navigation,RQ2;RQ5;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RGA96668557C163645,CW5CDC7C48C7E12319BFE9,Structural optimization of neural networks and training data selection method for prediction,RQ5;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG83BEB4CA3AD74FC1,CW3F044697C51812668FDD,Deep Generative Dual Memory Network for Continual Learning,RQ5;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG498032B5B2C37843,CWDE3B60FBD175A7C3BE26,DERLight: A Deep Reinforcement Learning Traffic Light Control Algorithm with Dual Experience Replay,RQ5;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RGBA267DBAAD82DE70,CWA7226C5E3318EE7ED94B,Toward improving global rice yield reference dataset compilation through machine learning: Insights from training data selection and random forest analysis,RQ1;RQ5;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RGD709BAFF67BA1294,CW9313E9D4B1AA4165177E,A Probabilistic Interpretation of Self-Paced Learning with Applications\n to Reinforcement Learning,RQ1;RQ5;RQ6;RQ8,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG84D8EFD7A0AD44CB,CW1B8BEEC69397A293C871,Class-Incremental Learning Using Generative Experience Replay Based on Time-aware Regularization,RQ5;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG836AD9451979D1D9,CW925265DB32C74692A9F0,Anticipatory Classifier System With Episode-Based Experience Replay,RQ5;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
RG44C441DEA215467A,CW813A7278E41D801013F6,Non-Intrusive Load Monitoring of Household Devices Using a Hybrid Deep Learning Model through Convex Hull-Based Data Selection,RQ1;RQ5;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,LOWER_LEXICOGRAPHIC_PRIORITY_AFTER_EXACT_BROAD_TOTAL
