actual_label,Deformation,DepositAttachment,JointAnomaly,Normal,Roots,WallDamage
Deformation,0.808333,0.083333,0.016667,0.066667,0.0,0.025
DepositAttachment,0.066667,0.583333,0.1,0.075,0.041667,0.133333
JointAnomaly,0.008333,0.083333,0.675,0.05,0.058333,0.125
Normal,0.075,0.066667,0.033333,0.708333,0.016667,0.1
Roots,0.0,0.05,0.2,0.016667,0.691667,0.041667
WallDamage,0.016667,0.191667,0.133333,0.041667,0.041667,0.575
