actual_label,Deformation,DepositAttachment,JointAnomaly,Normal,Roots,WallDamage
Deformation,97,10,2,8,0,3
DepositAttachment,8,70,12,9,5,16
JointAnomaly,1,10,81,6,7,15
Normal,9,8,4,85,2,12
Roots,0,6,24,2,83,5
WallDamage,2,23,16,5,5,69
