gt_label,pred_label,count,rate_within_gt
Roots,JointAnomaly,24,0.2
WallDamage,DepositAttachment,23,0.191667
DepositAttachment,WallDamage,16,0.133333
WallDamage,JointAnomaly,16,0.133333
JointAnomaly,WallDamage,15,0.125
DepositAttachment,JointAnomaly,12,0.1
Normal,WallDamage,12,0.1
Deformation,DepositAttachment,10,0.083333
JointAnomaly,DepositAttachment,10,0.083333
DepositAttachment,Normal,9,0.075
Normal,Deformation,9,0.075
Deformation,Normal,8,0.066667
DepositAttachment,Deformation,8,0.066667
Normal,DepositAttachment,8,0.066667
JointAnomaly,Roots,7,0.058333
JointAnomaly,Normal,6,0.05
Roots,DepositAttachment,6,0.05
DepositAttachment,Roots,5,0.041667
Roots,WallDamage,5,0.041667
WallDamage,Normal,5,0.041667
WallDamage,Roots,5,0.041667
Normal,JointAnomaly,4,0.033333
Deformation,WallDamage,3,0.025
Deformation,JointAnomaly,2,0.016667
Normal,Roots,2,0.016667
Roots,Normal,2,0.016667
WallDamage,Deformation,2,0.016667
JointAnomaly,Deformation,1,0.008333
