epoch,checkpoint_file,checkpoint_path,checkpoint_exists,evaluated,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990
67,epoch_067.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_067.pt,1,1,2.553029,0.17,0.22,0.380952,0.452381,0.900433,0.916667
68,epoch_068.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_068.pt,1,1,2.102795,0.16,0.16,0.464286,0.464286,0.902808,0.918651
69,epoch_069.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_069.pt,1,1,2.207796,0.25,0.36,0.440476,0.583333,0.922395,0.894841
70,epoch_070.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_070.pt,1,1,2.417122,0.18,0.29,0.357143,0.464286,0.902386,0.914683
71,epoch_071.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_071.pt,1,1,2.373213,0.14,0.25,0.285714,0.452381,0.900433,0.916667
72,epoch_072.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_072.pt,1,1,2.361793,0.2,0.31,0.392857,0.5,0.908297,0.90873
73,epoch_073.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_073.pt,1,1,2.340969,0.16,0.21,0.333333,0.392857,0.891026,0.928571
74,epoch_074.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_074.pt,1,1,2.424495,0.25,0.25,0.464286,0.464286,0.902808,0.918651
75,epoch_075.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_075.pt,1,1,2.404233,0.2,0.29,0.416667,0.5,0.908297,0.90873
76,epoch_076.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_076.pt,1,1,2.561912,0.09,0.23,0.22619,0.488095,0.906318,0.910714
77,epoch_077.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_077.pt,1,1,2.338437,0.16,0.2,0.380952,0.404762,0.892704,0.924603
78,epoch_078.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_078.pt,1,1,2.253472,0.11,0.19,0.333333,0.440476,0.898488,0.918651
79,epoch_079.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_079.pt,1,1,2.393046,0.08,0.18,0.202381,0.369048,0.886994,0.930556
80,epoch_080.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_080.pt,1,1,2.382924,0.03,0.2,0.035714,0.452381,0.900433,0.916667
81,epoch_081.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_081.pt,1,1,2.5774,0.04,0.25,0.083333,0.47619,0.904348,0.912698
82,epoch_082.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_082.pt,1,1,2.316387,0.11,0.17,0.321429,0.392857,0.890792,0.926587
83,epoch_083.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_083.pt,1,1,2.384837,0.05,0.13,0.119048,0.321429,0.879493,0.938492
84,epoch_084.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_084.pt,1,1,2.580196,0.06,0.18,0.166667,0.404762,0.892704,0.924603
85,epoch_085.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_085.pt,1,1,2.706496,0.14,0.25,0.285714,0.464286,0.902597,0.916667
86,epoch_086.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_086.pt,1,1,2.876647,0.17,0.22,0.345238,0.428571,0.896552,0.920635
87,epoch_087.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_087.pt,1,1,2.966037,0.13,0.25,0.25,0.452381,0.900433,0.916667
88,epoch_088.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_088.pt,1,1,2.845124,0.19,0.22,0.333333,0.392857,0.891026,0.928571
89,epoch_089.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_gate_bucket_pilot\yolo11m_gate2_formal_bucket_r_q3_200ep\weights\epoch_089.pt,1,1,2.716425,0.18,0.24,0.321429,0.428571,0.896552,0.920635
