variant,description,temperature,alpha,beta,gamma,auroc,average_precision,ece,brier_score,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,threshold_at_r995,threshold_at_r990
P0,calibrated p_abnormal,2.42709267,1.0,1.0,0.5,0.946145,0.987067,0.021566,0.054661,0.511905,0.607143,0.926667,0.892857,0.26,0.34
P1,p_abnormal + uncertainty,2.42709267,1.0,1.0,0.5,0.842432,0.91835,0.412136,0.241338,0.52381,0.607143,0.926503,0.890873,0.37,0.42
P2,p_abnormal + trust,2.42709267,1.0,1.0,0.5,0.941213,0.978064,0.502763,0.336728,0.47619,0.595238,0.924444,0.892857,0.21,0.23
P3,p_abnormal + trust + uncertainty,2.42709267,1.0,1.0,0.5,0.916582,0.972432,0.496347,0.331442,0.511905,0.607143,0.926503,0.890873,0.25,0.29
P4,P3 + HN-aware normal bank,2.42709267,1.0,1.0,0.5,0.916497,0.972428,0.496535,0.331646,0.511905,0.607143,0.926503,0.890873,0.25,0.29
