variant,variant_desc,threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
P0,calibrated p_abnormal,0.41,412,8,32,52,0.980952,0.927928,0.619048,0.380952,0.019048,0.866667,0.920635,0.953704,0.880952,52,32,412,8
P0,calibrated p_abnormal,0.42,411,9,31,53,0.978571,0.929864,0.630952,0.369048,0.021429,0.854839,0.920635,0.953596,0.876984,53,31,411,9
P0,calibrated p_abnormal,0.43,411,9,30,54,0.978571,0.931973,0.642857,0.357143,0.021429,0.857143,0.922619,0.954704,0.875,54,30,411,9
P0,calibrated p_abnormal,0.44,411,9,28,56,0.978571,0.936219,0.666667,0.333333,0.021429,0.861538,0.926587,0.956927,0.871032,56,28,411,9
P0,calibrated p_abnormal,0.45,411,9,28,56,0.978571,0.936219,0.666667,0.333333,0.021429,0.861538,0.926587,0.956927,0.871032,56,28,411,9
P0,calibrated p_abnormal,0.46,411,9,28,56,0.978571,0.936219,0.666667,0.333333,0.021429,0.861538,0.926587,0.956927,0.871032,56,28,411,9
P0,calibrated p_abnormal,0.47,410,10,28,56,0.97619,0.936073,0.666667,0.333333,0.02381,0.848485,0.924603,0.955711,0.869048,56,28,410,10
P0,calibrated p_abnormal,0.48,410,10,27,57,0.97619,0.938215,0.678571,0.321429,0.02381,0.850746,0.926587,0.956826,0.867063,57,27,410,10
P0,calibrated p_abnormal,0.49,410,10,26,58,0.97619,0.940367,0.690476,0.309524,0.02381,0.852941,0.928571,0.957944,0.865079,58,26,410,10
P0,calibrated p_abnormal,0.5,410,10,25,59,0.97619,0.942529,0.702381,0.297619,0.02381,0.855072,0.930556,0.959064,0.863095,59,25,410,10
P0,calibrated p_abnormal,0.51,410,10,24,60,0.97619,0.9447,0.714286,0.285714,0.02381,0.857143,0.93254,0.960187,0.861111,60,24,410,10
P0,calibrated p_abnormal,0.52,408,12,24,60,0.971429,0.944444,0.714286,0.285714,0.028571,0.833333,0.928571,0.957746,0.857143,60,24,408,12
P0,calibrated p_abnormal,0.53,408,12,24,60,0.971429,0.944444,0.714286,0.285714,0.028571,0.833333,0.928571,0.957746,0.857143,60,24,408,12
P0,calibrated p_abnormal,0.54,408,12,24,60,0.971429,0.944444,0.714286,0.285714,0.028571,0.833333,0.928571,0.957746,0.857143,60,24,408,12
P0,calibrated p_abnormal,0.55,408,12,24,60,0.971429,0.944444,0.714286,0.285714,0.028571,0.833333,0.928571,0.957746,0.857143,60,24,408,12
