epoch,checkpoint_file,checkpoint_path,checkpoint_exists,evaluated,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990
24,epoch23.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_024.pt,1,1,1.839922,0.13,0.2,0.345238,0.428571,0.896552,0.920635
25,epoch24.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_025.pt,1,1,2.02497,0.07,0.11,0.321429,0.404762,0.892704,0.924603
26,epoch25.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_026.pt,1,1,2.282181,0.16,0.23,0.22619,0.321429,0.879493,0.938492
27,epoch26.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_027.pt,1,1,2.575385,0.16,0.3,0.297619,0.47619,0.904348,0.912698
28,epoch27.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_028.pt,1,1,1.773393,0.06,0.12,0.297619,0.428571,0.896552,0.920635
29,epoch28.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_029.pt,1,1,2.00304,0.15,0.17,0.440476,0.47619,0.904348,0.912698
30,epoch29.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_030.pt,1,1,2.401671,0.16,0.21,0.440476,0.5,0.908297,0.90873
31,epoch30.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_031.pt,1,1,2.257468,0.17,0.24,0.27381,0.404762,0.892934,0.926587
32,epoch31.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_032.pt,1,1,2.049278,0.07,0.16,0.261905,0.452381,0.900433,0.916667
33,epoch32.pt,D:\BaiduNetdiskDownload\stage1_formal_gate_hn_x\YOLOv11\runs\stage1_formal_gate_hn\yolo11x_gate2_formal_hn10_200ep\weights\epoch_033.pt,1,1,2.190727,0.21,0.27,0.392857,0.488095,0.906318,0.910714
