epoch,checkpoint_file,checkpoint_path,temperature_T,tau_r995,tau_r990,spec_at_r995,spec_at_r990,prec_at_r990,ptr_at_r990,tn_at_r995,fn_at_r995,tn_at_r990,fn_at_r990
129,epoch128.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch128.pt,3.263417,0.16,0.21,0.369048,0.416667,0.894624,0.922619,31,2,35,4
130,epoch129.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch129.pt,3.274325,0.16,0.23,0.357143,0.440476,0.898488,0.918651,30,2,37,4
131,epoch130.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch130.pt,3.302437,0.17,0.24,0.369048,0.452381,0.900433,0.916667,31,2,38,4
132,epoch131.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch131.pt,3.279634,0.15,0.21,0.345238,0.428571,0.896774,0.922619,29,2,36,3
133,epoch132.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch132.pt,3.270698,0.14,0.22,0.309524,0.440476,0.898488,0.918651,26,1,37,4
134,epoch133.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch133.pt,3.281884,0.12,0.22,0.27381,0.452381,0.900433,0.916667,23,1,38,4
135,epoch134.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch134.pt,3.330827,0.14,0.21,0.321429,0.452381,0.900648,0.918651,27,2,38,3
136,epoch135.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch135.pt,3.354024,0.16,0.23,0.357143,0.464286,0.902597,0.916667,30,2,39,3
137,epoch136.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch136.pt,3.349073,0.17,0.22,0.380952,0.464286,0.902597,0.916667,32,2,39,3
138,epoch137.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch137.pt,3.349583,0.16,0.26,0.357143,0.488095,0.906318,0.910714,30,2,41,4
139,epoch138.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch138.pt,3.361975,0.16,0.25,0.357143,0.488095,0.906318,0.910714,30,2,41,4
140,epoch139.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch139.pt,3.374869,0.17,0.26,0.404762,0.5,0.908297,0.90873,34,2,42,4
141,epoch140.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch140.pt,3.401351,0.17,0.26,0.392857,0.511905,0.910284,0.906746,33,2,43,4
142,epoch141.pt,D:\YOLO-CV-generated\YOLOv11\runs\stage1_goldilocks\R-W08\weights\epoch141.pt,3.424999,0.17,0.26,0.392857,0.5,0.908297,0.90873,33,2,42,4
