paper_id,title,path,bytes,sha256,source_format,page_count,title_token_coverage,title_identity_status,source_authority,source_url,receipt_path,probe_tool,first_pages_text_sha256
AX501F9ECF2E222F25,Active Bias: Training More Accurate Neural Networks by Emphasizing High Variance Samples,sources/anchor_supplement_v2/AX501F9ECF2E222F25.pdf,924820,0D71370BC89D5CF65DAEB2EC55447732E7ABAD58D32CAABEA5769C052B24301F,PDF,11,1.000000,PASS,PRIMARY_PUBLISHER,https://proceedings.neurips.cc/paper_files/paper/2017/file/2f37d10131f2a483a8dd005b3d14b0d9-Paper.pdf,sources/anchor_supplement_v2/AX501F9ECF2E222F25.pdf.receipt.json,POPPLER_PDFINFO_AND_PDFTOTEXT,A90AE836A9C0BE29CF3FE668942D15BDBC1DF60154C884F74E04ABCB8A2A12D9
AX5BBB2D6BD039C272,Active Learning Through a Covering Lens,sources/anchor_supplement_v2/AX5BBB2D6BD039C272.pdf,1769964,EFBF45149577F3EB64AFDAE440A5335A89F003B9C357D3AFF3926278162E664E,PDF,14,1.000000,PASS,PRIMARY_PUBLISHER,https://proceedings.neurips.cc/paper_files/paper/2022/file/8c64bc3f7796d31caa7c3e6b969bf7da-Paper-Conference.pdf,sources/anchor_supplement_v2/AX5BBB2D6BD039C272.pdf.receipt.json,POPPLER_PDFINFO_AND_PDFTOTEXT,1621F31EC4055AE6A7C44A500F78665FDEB04604E7311277505FE048E25BBE0F
AX5D5392D5D7F1038E,Data curation via joint example selection further accelerates multimodal learning,sources/anchor_supplement_v2/AX5D5392D5D7F1038E.pdf,1757071,8454D8C0109249B7F32FBA9AC349699C342FE16A779BC9CEAEDC607425C79361,PDF,21,1.000000,PASS,PRIMARY_PUBLISHER,https://proceedings.neurips.cc/paper_files/paper/2024/file/ff8d608f6dcebec401df78ca76617e95-Paper-Datasets_and_Benchmarks_Track.pdf,sources/anchor_supplement_v2/AX5D5392D5D7F1038E.pdf.receipt.json,POPPLER_PDFINFO_AND_PDFTOTEXT,8E6EE7A62A640E711DD98B8FA6CD5AFCFADD2EAEEE2EF2401562BFE61BC1A734
AX60FA7026B413D57B,Focal Loss for Dense Object Detection,sources/anchor_supplement_v2/AX60FA7026B413D57B.pdf,2191884,957060A5139B26FF4A41AF8AF84AD6BE57495F11E349B805F48A1ECBDFC8CC6F,PDF,9,1.000000,PASS,PRIMARY_PUBLISHER,https://openaccess.thecvf.com/content_ICCV_2017/papers/Lin_Focal_Loss_for_ICCV_2017_paper.pdf,sources/anchor_supplement_v2/AX60FA7026B413D57B.pdf.receipt.json,POPPLER_PDFINFO_AND_PDFTOTEXT,F687DCCB4E145CD5E939EF60874F26A7F4E77E8C6D9C08767EDD900F4CD1DE54
AX650ABBBE424F1071,How much does Initialization Affect Generalization?,sources/anchor_supplement_v2/AX650ABBBE424F1071.pdf,3604674,F934608344387DAD5E095FEFBAD7FCDD0311D5E56D60DCAFF8E3E82BEE392EA3,PDF,19,1.000000,PASS,PRIMARY_PUBLISHER,https://proceedings.mlr.press/v202/ramasinghe23a/ramasinghe23a.pdf,sources/anchor_supplement_v2/AX650ABBBE424F1071.pdf.receipt.json,POPPLER_PDFINFO_AND_PDFTOTEXT,C5E93510CF4B2FB7E918F8B3E91D00AD895DDAA875F2F89DA35DC05405624830
AX6987DB4646B2490F,GREATS: Online Selection of High-Quality Data for LLM Training in Every Iteration,sources/anchor_supplement_v2/AX6987DB4646B2490F.pdf,5269069,EE7336CAE82A2390065097122B29E8148F58F84E9CBF40A7E518ACC067508952,PDF,27,1.000000,PASS,PRIMARY_PUBLISHER,https://proceedings.neurips.cc/paper_files/paper/2024/file/ed165f2ff227cf36c7e3ef88957dadd9-Paper-Conference.pdf,sources/anchor_supplement_v2/AX6987DB4646B2490F.pdf.receipt.json,POPPLER_PDFINFO_AND_PDFTOTEXT,5F8D1FCB94A43E8A6F05CEC9DE7F65E6A185F068D0E4091BF4F89B037FBE0A4D
AX6B828EA30AEEF829,DivideMix: Learning with Noisy Labels as Semi-Supervised Learning,sources/anchor_supplement_v2/AX6B828EA30AEEF829.pdf,771769,1FF51BF883305E7601E5D7126077F6FFC35247D9D1367F57CF93D312807161AA,PDF,14,1.000000,PASS,OFFICIAL_REPOSITORY,https://arxiv.org/pdf/2002.07394,sources/anchor_supplement_v2/AX6B828EA30AEEF829.pdf.receipt.json,POPPLER_PDFINFO_AND_PDFTOTEXT,BFF89190B77A5B8404658D18E3AF6EF79A636A5DBBC86034390E6917559FE701
AX79D4A4F6C4BBCA52,Coresets for Accelerating Incremental Gradient Methods,sources/anchor_supplement_v2/AX79D4A4F6C4BBCA52.pdf,1635193,0B1D7D169887B38223BD294EBC6618DE562AAE2D8CACF707A16B6AC626F43819,PDF,18,1.000000,PASS,OFFICIAL_REPOSITORY,https://arxiv.org/pdf/1906.01827,sources/anchor_supplement_v2/AX79D4A4F6C4BBCA52.pdf.receipt.json,POPPLER_PDFINFO_AND_PDFTOTEXT,44220773577C17B349B3EB7591B01238584C12975EA15408DCAB26AE38A3BDC1
AX9313629F9AEE4C10,BWS: Best Window Selection Based on Sample Scores for Data Pruning across Broad Ranges,sources/anchor_supplement_v2/AX9313629F9AEE4C10.pdf,2265630,298402A15EC7252BB871E9948CFF856F5C1CE7A9A672273C49B730444C0F6FCB,PDF,30,1.000000,PASS,PRIMARY_PUBLISHER,https://raw.githubusercontent.com/mlresearch/v235/main/assets/choi24c/choi24c.pdf,sources/anchor_supplement_v2/AX9313629F9AEE4C10.pdf.receipt.json,POPPLER_PDFINFO_AND_PDFTOTEXT,7B524F6CDEF94CF4DF7FD30405A4E72FE204592CB6B62A428785C215F25FF977
AXA06EB02B84C505EE,Changing the Training Data Distribution to Reduce Simplicity Bias Improves In-distribution Generalization,sources/anchor_supplement_v2/AXA06EB02B84C505EE.pdf,898837,4F4ADFD9D367CB447D022ADD228233495B2D7295932892BD2E16A8041BE2CBA7,PDF,43,1.000000,PASS,PRIMARY_PUBLISHER,https://proceedings.neurips.cc/paper_files/paper/2024/file/7f5f9a88c6516469c83d074c6f2976fb-Paper-Conference.pdf,sources/anchor_supplement_v2/AXA06EB02B84C505EE.pdf.receipt.json,POPPLER_PDFINFO_AND_PDFTOTEXT,3C98C46B036D8546B85278056FDEF7232C7C794EF998D509B634F6C9D6C8AFFC
