paper_id,title,source_path,source_bytes,source_sha256,source_format,text_path,text_bytes,text_sha256,visible_characters,extraction_tool,receipt_path,reading_credit_granted
AX501F9ECF2E222F25,Active Bias: Training More Accurate Neural Networks by Emphasizing High Variance Samples,sources/anchor_supplement_v2/AX501F9ECF2E222F25.pdf,924820,0D71370BC89D5CF65DAEB2EC55447732E7ABAD58D32CAABEA5769C052B24301F,PDF,discovery/anchor_text_v2/AX501F9ECF2E222F25.txt,54188,9F5B54B5A585AD9D33341292931030CCE16EAAF888A3B4F96612B666AB113179,33889,POPPLER_PDFTOTEXT_LAYOUT_UTF8,discovery/anchor_text_v2/AX501F9ECF2E222F25.txt.receipt.json,False
AX5BBB2D6BD039C272,Active Learning Through a Covering Lens,sources/anchor_supplement_v2/AX5BBB2D6BD039C272.pdf,1769964,EFBF45149577F3EB64AFDAE440A5335A89F003B9C357D3AFF3926278162E664E,PDF,discovery/anchor_text_v2/AX5BBB2D6BD039C272.txt,51091,FC899ADA893F463EF04516078206D1FA1556596656B7A52738129A584660E3C8,38503,POPPLER_PDFTOTEXT_LAYOUT_UTF8,discovery/anchor_text_v2/AX5BBB2D6BD039C272.txt.receipt.json,False
AX5D5392D5D7F1038E,Data curation via joint example selection further accelerates multimodal learning,sources/anchor_supplement_v2/AX5D5392D5D7F1038E.pdf,1757071,8454D8C0109249B7F32FBA9AC349699C342FE16A779BC9CEAEDC607425C79361,PDF,discovery/anchor_text_v2/AX5D5392D5D7F1038E.txt,89118,F7BAC103AF15D861B501B42EEAE8358CCD0A2E2B86E850D12928508A6B17BE24,59941,POPPLER_PDFTOTEXT_LAYOUT_UTF8,discovery/anchor_text_v2/AX5D5392D5D7F1038E.txt.receipt.json,False
AX60FA7026B413D57B,Focal Loss for Dense Object Detection,sources/anchor_supplement_v2/AX60FA7026B413D57B.pdf,2191884,957060A5139B26FF4A41AF8AF84AD6BE57495F11E349B805F48A1ECBDFC8CC6F,PDF,discovery/anchor_text_v2/AX60FA7026B413D57B.txt,66758,989F022BB18210C3878D47E98BBA538B41F26BF15B15A0F2B12723F30C3A5148,38594,POPPLER_PDFTOTEXT_LAYOUT_UTF8,discovery/anchor_text_v2/AX60FA7026B413D57B.txt.receipt.json,False
AX650ABBBE424F1071,How much does Initialization Affect Generalization?,sources/anchor_supplement_v2/AX650ABBBE424F1071.pdf,3604674,F934608344387DAD5E095FEFBAD7FCDD0311D5E56D60DCAFF8E3E82BEE392EA3,PDF,discovery/anchor_text_v2/AX650ABBBE424F1071.txt,92776,85E71527BFB0D8E724AF3243F8006FCA79F7E37761389CD0F526F2241CF607AF,58964,POPPLER_PDFTOTEXT_LAYOUT_UTF8,discovery/anchor_text_v2/AX650ABBBE424F1071.txt.receipt.json,False
AX6987DB4646B2490F,GREATS: Online Selection of High-Quality Data for LLM Training in Every Iteration,sources/anchor_supplement_v2/AX6987DB4646B2490F.pdf,5269069,EE7336CAE82A2390065097122B29E8148F58F84E9CBF40A7E518ACC067508952,PDF,discovery/anchor_text_v2/AX6987DB4646B2490F.txt,103446,B3463FD743884AB0F3157E14C17E7CECF43C7627914CAD2A8A247AA37A5B4A0C,69561,POPPLER_PDFTOTEXT_LAYOUT_UTF8,discovery/anchor_text_v2/AX6987DB4646B2490F.txt.receipt.json,False
AX6B828EA30AEEF829,DivideMix: Learning with Noisy Labels as Semi-Supervised Learning,sources/anchor_supplement_v2/AX6B828EA30AEEF829.pdf,771769,1FF51BF883305E7601E5D7126077F6FFC35247D9D1367F57CF93D312807161AA,PDF,discovery/anchor_text_v2/AX6B828EA30AEEF829.txt,60027,5329D60B9B5B5840A5D1C5186036A88B7C97326767EAFBFC6AAB063320CDD8AF,37023,POPPLER_PDFTOTEXT_LAYOUT_UTF8,discovery/anchor_text_v2/AX6B828EA30AEEF829.txt.receipt.json,False
AX79D4A4F6C4BBCA52,Coresets for Accelerating Incremental Gradient Methods,sources/anchor_supplement_v2/AX79D4A4F6C4BBCA52.pdf,1635193,0B1D7D169887B38223BD294EBC6618DE562AAE2D8CACF707A16B6AC626F43819,PDF,discovery/anchor_text_v2/AX79D4A4F6C4BBCA52.txt,107259,F2BB2BD9720F584BECF9CA409408C168188FB88216D440BDEE474C8E7F7A9A34,51118,POPPLER_PDFTOTEXT_LAYOUT_UTF8,discovery/anchor_text_v2/AX79D4A4F6C4BBCA52.txt.receipt.json,False
AX9313629F9AEE4C10,BWS: Best Window Selection Based on Sample Scores for Data Pruning across Broad Ranges,sources/anchor_supplement_v2/AX9313629F9AEE4C10.pdf,2265630,298402A15EC7252BB871E9948CFF856F5C1CE7A9A672273C49B730444C0F6FCB,PDF,discovery/anchor_text_v2/AX9313629F9AEE4C10.txt,204341,4B16878F7AAD2D521441ECA739941DC5E1F7EC3CA0423AFE8AF49A280CC81950,104731,POPPLER_PDFTOTEXT_LAYOUT_UTF8,discovery/anchor_text_v2/AX9313629F9AEE4C10.txt.receipt.json,False
AXA06EB02B84C505EE,Changing the Training Data Distribution to Reduce Simplicity Bias Improves In-distribution Generalization,sources/anchor_supplement_v2/AXA06EB02B84C505EE.pdf,898837,4F4ADFD9D367CB447D022ADD228233495B2D7295932892BD2E16A8041BE2CBA7,PDF,discovery/anchor_text_v2/AXA06EB02B84C505EE.txt,226271,ED07212C882C891692CD748068F62DBE2909AABFAF3C4A228DDC839FFD22E54F,107178,POPPLER_PDFTOTEXT_LAYOUT_UTF8,discovery/anchor_text_v2/AXA06EB02B84C505EE.txt.receipt.json,False
