paper_id,artifact_role,path,url,retrieved_at,http_status,content_type,bytes,sha256,retrieval_method,source_authority,final_url,receipt_path,reused_existing
LEGACY-P002,DEEP_FULL_TEXT,sources/legacy_core/P002_DoCL_2021.pdf,https://proceedings.mlr.press/v130/zhou21a/zhou21a.pdf,2026-08-09T23:02:37.088134+08:00,200,application/pdf,1839385,14B8E63E994887BFC0533902BAE2A8A79C415ADE7E352C5D0F77D1B72832117C,HTTP_DOWNLOAD,PRIMARY_PUBLISHER,https://proceedings.mlr.press/v130/zhou21a/zhou21a.pdf,sources/legacy_core/P002_DoCL_2021.pdf.receipt.json,False
LEGACY-P009,DEEP_FULL_TEXT,sources/legacy_core/P009_RHO_LOSS_2022.pdf,https://proceedings.mlr.press/v162/mindermann22a/mindermann22a.pdf,2026-08-09T23:02:38.111579+08:00,200,application/pdf,1428379,C8FA73E9256CB70ADE58D23B498B4164D601514850ADD790E1F63A1B3E46CBBE,HTTP_DOWNLOAD,PRIMARY_PUBLISHER,https://proceedings.mlr.press/v162/mindermann22a/mindermann22a.pdf,sources/legacy_core/P009_RHO_LOSS_2022.pdf.receipt.json,False
LEGACY-P008,DEEP_FULL_TEXT,sources/legacy_core/P008_Data_Diet_2021.pdf,https://proceedings.neurips.cc/paper/2021/file/ac56f8fe9eea3e4a365f29f0f1957c55-Paper.pdf,2026-08-09T23:02:41.225993+08:00,200,application/pdf,896346,F5CABCA1BC3C837B924888BBAA949EBBC754B771FF91FCDA13E7B91D5C4DC9AD,HTTP_DOWNLOAD,PRIMARY_PUBLISHER,https://proceedings.neurips.cc/paper/2021/file/ac56f8fe9eea3e4a365f29f0f1957c55-Paper.pdf,sources/legacy_core/P008_Data_Diet_2021.pdf.receipt.json,False
LEGACY-P004,DEEP_FULL_TEXT,sources/legacy_core/P004_Learning_To_Reweight_2018.pdf,https://proceedings.mlr.press/v80/ren18a/ren18a.pdf,2026-08-09T23:02:42.202970+08:00,200,application/pdf,2922359,3D46118CFB8575A12ED3EA2E5C90857DB865FB9FC01C7F8B6565090DE8DDF276,HTTP_DOWNLOAD,PRIMARY_PUBLISHER,https://proceedings.mlr.press/v80/ren18a/ren18a.pdf,sources/legacy_core/P004_Learning_To_Reweight_2018.pdf.receipt.json,False
LEGACY-P005,DEEP_FULL_TEXT,sources/legacy_core/P005_GradMatch_2021.pdf,https://proceedings.mlr.press/v139/killamsetty21a/killamsetty21a.pdf,2026-08-09T23:02:43.017689+08:00,200,application/pdf,918725,945F5AEBCDD0A134726E495AFE99141738A6241E4EFD7A444912FBAA66F56ABB,HTTP_DOWNLOAD,PRIMARY_PUBLISHER,https://proceedings.mlr.press/v139/killamsetty21a/killamsetty21a.pdf,sources/legacy_core/P005_GradMatch_2021.pdf.receipt.json,False
LEGACY-P006,DEEP_FULL_TEXT,sources/legacy_core/P006_GLISTER_2021_AAAI.pdf,https://cdn.aaai.org/ojs/16988/16988-13-20482-1-2-20210518.pdf,2026-08-09T23:02:45.910112+08:00,200,application/pdf,797498,88ECDA6540A7E528B2CB7C7763492CFB5763A0D421580ADB50E130FB9551BAF6,HTTP_DOWNLOAD,PRIMARY_PUBLISHER,https://cdn.aaai.org/ojs/16988/16988-13-20482-1-2-20210518.pdf,sources/legacy_core/P006_GLISTER_2021_AAAI.pdf.receipt.json,False
LEGACY-P007,DEEP_FULL_TEXT,sources/legacy_core/P007_Example_Forgetting_2019.pdf,https://arxiv.org/pdf/1812.05159,2026-08-09T23:02:47.943706+08:00,200,application/pdf,1731989,0CEEF9C602D22B977BAF61E1E62897EE0D3D1A043E93D34129B3A448A9120C89,HTTP_DOWNLOAD,OFFICIAL_REPOSITORY,https://arxiv.org/pdf/1812.05159,sources/legacy_core/P007_Example_Forgetting_2019.pdf.receipt.json,False
LEGACY-P010,DEEP_FULL_TEXT,sources/legacy_core/P010_Dataset_Cartography_2020.pdf,https://aclanthology.org/2020.emnlp-main.746.pdf,2026-08-09T23:02:52.765921+08:00,200,application/pdf,12910878,E3D807F0E007FF03A22F6B80176F4BBC9F734E7804061C61792C6FF1B97C550F,HTTP_DOWNLOAD,PRIMARY_PUBLISHER,https://aclanthology.org/2020.emnlp-main.746.pdf,sources/legacy_core/P010_Dataset_Cartography_2020.pdf.receipt.json,False
LEGACY-P011,DEEP_FULL_TEXT,sources/legacy_core/P011_TracIn_2020.pdf,https://proceedings.neurips.cc/paper_files/paper/2020/file/e6385d39ec9394f2f3a354d9d2b88eec-Paper.pdf,2026-08-09T23:02:56.060383+08:00,200,application/pdf,5307415,B31C94316EF78E2E5F28553FE7F54098E2AAFB431405471D5624D073465D09C9,HTTP_DOWNLOAD,PRIMARY_PUBLISHER,https://proceedings.neurips.cc/paper_files/paper/2020/file/e6385d39ec9394f2f3a354d9d2b88eec-Paper.pdf,sources/legacy_core/P011_TracIn_2020.pdf.receipt.json,False
LEGACY-P012,DEEP_FULL_TEXT,sources/legacy_core/P012_Influence_Functions_2017.pdf,https://proceedings.mlr.press/v70/koh17a/koh17a.pdf,2026-08-09T23:02:57.328316+08:00,200,application/pdf,4815350,715FB9F935B0AF32C7AE1F0D834FD5158EDB279A575A4AE91196D1830F281F65,HTTP_DOWNLOAD,PRIMARY_PUBLISHER,https://proceedings.mlr.press/v70/koh17a/koh17a.pdf,sources/legacy_core/P012_Influence_Functions_2017.pdf.receipt.json,False
LEGACY-P013,DEEP_FULL_TEXT,sources/legacy_core/P013_Influence_Functions_Fragile_2021.pdf,https://arxiv.org/pdf/2006.14651,2026-08-09T23:02:58.940965+08:00,200,application/pdf,7833370,C03CED98DEA27D0EE6882C3594B77F3617F8DD4F1C0B49A14E12C16271A7557F,HTTP_DOWNLOAD,OFFICIAL_REPOSITORY,https://arxiv.org/pdf/2006.14651,sources/legacy_core/P013_Influence_Functions_Fragile_2021.pdf.receipt.json,False
LEGACY-P014,DEEP_FULL_TEXT,sources/legacy_core/P014_Influence_Question_PBRF_2022.pdf,https://proceedings.neurips.cc/paper_files/paper/2022/file/7234e0c36fdbcb23e7bd56b68838999b-Paper-Conference.pdf,2026-08-09T23:03:00.296689+08:00,200,application/pdf,818101,943184BEDD774849911E39C0B02FC35AC88241ABCB3A2A82DB40371400C72E14,HTTP_DOWNLOAD,PRIMARY_PUBLISHER,https://proceedings.neurips.cc/paper_files/paper/2022/file/7234e0c36fdbcb23e7bd56b68838999b-Paper-Conference.pdf,sources/legacy_core/P014_Influence_Question_PBRF_2022.pdf.receipt.json,False
LEGACY-P015,DEEP_FULL_TEXT,sources/legacy_core/P015_SOURCE_Approximate_Unrolling_2024.pdf,https://proceedings.neurips.cc/paper_files/paper/2024/file/7af60ccb99c7a434a0d9d9c1fb00ca94-Paper-Conference.pdf,2026-08-09T23:03:01.219560+08:00,200,application/pdf,2207668,C0B6A9E52F16D2AA87782A479716B8D247E7FB52414ACFDE1D061F00F5491271,HTTP_DOWNLOAD,PRIMARY_PUBLISHER,https://proceedings.neurips.cc/paper_files/paper/2024/file/7af60ccb99c7a434a0d9d9c1fb00ca94-Paper-Conference.pdf,sources/legacy_core/P015_SOURCE_Approximate_Unrolling_2024.pdf.receipt.json,False
LEGACY-P016,DEEP_FULL_TEXT,sources/legacy_core/P016_TRAK_2023.pdf,https://proceedings.mlr.press/v202/park23c/park23c.pdf,2026-08-09T23:03:03.725216+08:00,200,application/pdf,8636031,9A3AA5C2B83511DDAC253B2368DAF808590E9C8714089A51BE5CF4BFE069B96E,HTTP_DOWNLOAD,PRIMARY_PUBLISHER,https://proceedings.mlr.press/v202/park23c/park23c.pdf,sources/legacy_core/P016_TRAK_2023.pdf.receipt.json,False
LEGACY-P017,DEEP_FULL_TEXT,sources/legacy_core/P017_Data_Echoing_2019.pdf,https://arxiv.org/pdf/1907.05550,2026-08-09T23:03:04.143105+08:00,200,application/pdf,1073487,104EF74BAB1E8CB4826EC2A6DBBC3C552C7094B66BAFE1FB0C058E939EA1A57D,HTTP_DOWNLOAD,OFFICIAL_REPOSITORY,https://arxiv.org/pdf/1907.05550,sources/legacy_core/P017_Data_Echoing_2019.pdf.receipt.json,False
LEGACY-P018,DEEP_FULL_TEXT,sources/legacy_core/P018_Laggard_Data_Pipelines_2020.pdf,https://proceedings.neurips.cc/paper/2020/file/74dbd1111727a31a2b825d615d80b2e7-Paper.pdf,2026-08-09T23:03:05.405412+08:00,200,application/pdf,697132,9D5565A16B312226DBEF1AF52CA50794C33E636F9DBF9A9F64DE416C7EE82F5A,HTTP_DOWNLOAD,PRIMARY_PUBLISHER,https://proceedings.neurips.cc/paper/2020/file/74dbd1111727a31a2b825d615d80b2e7-Paper.pdf,sources/legacy_core/P018_Laggard_Data_Pipelines_2020.pdf.receipt.json,False
LEGACY-P019,DEEP_FULL_TEXT,sources/legacy_core/P019_Replay_Scheduling_TMLR_2023.pdf,https://arxiv.org/pdf/2209.08660,2026-08-09T23:03:06.123257+08:00,200,application/pdf,857691,C10C3AC54DD62ED5D38ED16E0AD446194A6F2779011B2489FA0EBF1007829D4E,HTTP_DOWNLOAD,OFFICIAL_REPOSITORY,https://arxiv.org/pdf/2209.08660,sources/legacy_core/P019_Replay_Scheduling_TMLR_2023.pdf.receipt.json,False
LEGACY-P020,DEEP_FULL_TEXT,sources/legacy_core/P020_Early_Learning_Regularization_NeurIPS_2020.pdf,https://proceedings.neurips.cc/paper/2020/file/ea89621bee7c88b2c5be6681c8ef4906-Paper.pdf,2026-08-09T23:03:07.269066+08:00,200,application/pdf,767183,D29F8D401B62E9E7CDABAAF5B45E08AB2CBB8CB0122A7D610F03573062C4F331,HTTP_DOWNLOAD,PRIMARY_PUBLISHER,https://proceedings.neurips.cc/paper/2020/file/ea89621bee7c88b2c5be6681c8ef4906-Paper.pdf,sources/legacy_core/P020_Early_Learning_Regularization_NeurIPS_2020.pdf.receipt.json,False
LEGACY-P021,DEEP_FULL_TEXT,sources/legacy_core/P021_AUM_NeurIPS_2020.pdf,https://proceedings.neurips.cc/paper_files/paper/2020/file/c6102b3727b2a7d8b1bb6981147081ef-Paper.pdf,2026-08-09T23:03:08.014947+08:00,200,application/pdf,1561248,EB66138E223D17AE8D39C5545C02672CA3055C9B42853F3E035FE560FDCDB503,HTTP_DOWNLOAD,PRIMARY_PUBLISHER,https://proceedings.neurips.cc/paper_files/paper/2020/file/c6102b3727b2a7d8b1bb6981147081ef-Paper.pdf,sources/legacy_core/P021_AUM_NeurIPS_2020.pdf.receipt.json,False
LEGACY-P022,DEEP_FULL_TEXT,sources/legacy_core/P022_A_Closer_Look_at_Memorization_ICML_2017.pdf,https://proceedings.mlr.press/v70/arpit17a/arpit17a.pdf,2026-08-09T23:03:10.158060+08:00,200,application/pdf,3238488,1146F2F3D140ABA0270300EF6954EADE2ABFB399C1E461C955A810F2CBE9A68B,HTTP_DOWNLOAD,PRIMARY_PUBLISHER,https://proceedings.mlr.press/v70/arpit17a/arpit17a.pdf,sources/legacy_core/P022_A_Closer_Look_at_Memorization_ICML_2017.pdf.receipt.json,False
LEGACY-P023,DEEP_FULL_TEXT,sources/legacy_core/P023_Progressive_Early_Stopping_NeurIPS_2021.pdf,https://proceedings.neurips.cc/paper_files/paper/2021/file/cc7e2b878868cbae992d1fb743995d8f-Paper.pdf,2026-08-09T23:03:11.233344+08:00,200,application/pdf,657324,E25C97DF3B77DEA3501E8CAFE6498FEA2EF4B0933732D65BB4C5F5C1A7868ED4,HTTP_DOWNLOAD,PRIMARY_PUBLISHER,https://proceedings.neurips.cc/paper_files/paper/2021/file/cc7e2b878868cbae992d1fb743995d8f-Paper.pdf,sources/legacy_core/P023_Progressive_Early_Stopping_NeurIPS_2021.pdf.receipt.json,False
LEGACY-P024,DEEP_FULL_TEXT,sources/legacy_core/P024_Training_Well_Generalizing_Classifiers_ICML_2019.pdf,https://proceedings.mlr.press/v97/cotter19b/cotter19b.pdf,2026-08-09T23:03:11.757254+08:00,200,application/pdf,399850,1D08A44C7CF1CA67F8B91C49C62F0D4BFECEB751A996014D5871966E869C10DD,HTTP_DOWNLOAD,PRIMARY_PUBLISHER,https://proceedings.mlr.press/v97/cotter19b/cotter19b.pdf,sources/legacy_core/P024_Training_Well_Generalizing_Classifiers_ICML_2019.pdf.receipt.json,False
LEGACY-P026,DEEP_FULL_TEXT,sources/legacy_core/P026_When_AUC_Meets_DRO_ICML_2022.pdf,https://proceedings.mlr.press/v162/zhu22g/zhu22g.pdf,2026-08-09T23:03:19.845224+08:00,200,application/pdf,1110392,CE0C5E4494774DE414D5844CC69F05CBF351961A11DD83460B357744A93D8B40,HTTP_DOWNLOAD,PRIMARY_PUBLISHER,https://proceedings.mlr.press/v162/zhu22g/zhu22g.pdf,sources/legacy_core/P026_When_AUC_Meets_DRO_ICML_2022.pdf.receipt.json,False
LEGACY-P027,DEEP_FULL_TEXT,sources/legacy_core/P027_Structural_SVM_Partial_AUC_ICML_2013.pdf,https://proceedings.mlr.press/v28/narasimhan13.pdf,2026-08-09T23:03:20.383502+08:00,200,application/pdf,258814,3181AD0BD445DEB002F3F3D6C4A415E5FA008F61219A79DE6078856DB84DF51B,HTTP_DOWNLOAD,PRIMARY_PUBLISHER,https://proceedings.mlr.press/v28/narasimhan13.pdf,sources/legacy_core/P027_Structural_SVM_Partial_AUC_ICML_2013.pdf.receipt.json,False
LEGACY-P028,DEEP_FULL_TEXT,sources/legacy_core/P028_Generic_TPAUC_ICML_2021.pdf,https://proceedings.mlr.press/v139/yang21k/yang21k.pdf,2026-08-09T23:03:21.829442+08:00,200,application/pdf,1849388,D56147C96D2287AF5FF09FF9E7EEDBF87BC0967B9C3FB76646B72B81A9C30DF5,HTTP_DOWNLOAD,PRIMARY_PUBLISHER,https://proceedings.mlr.press/v139/yang21k/yang21k.pdf,sources/legacy_core/P028_Generic_TPAUC_ICML_2021.pdf.receipt.json,False
