paper_id,artifact_role,url,destination,source_authority
RGC9DBF113F856F4FE,BROAD_SOURCE,https://aclanthology.org/2020.emnlp-main.746.pdf,sources/anchor_supplement_v2/RGC9DBF113F856F4FE.pdf,PRIMARY_PUBLISHER
RGC0D4513EFDAC52B7,BROAD_SOURCE,https://arxiv.org/pdf/1812.05159,sources/anchor_supplement_v2/RGC0D4513EFDAC52B7.pdf,OFFICIAL_REPOSITORY
RG73E7B805F9AD76C7,BROAD_SOURCE,https://proceedings.neurips.cc/paper_files/paper/2020/file/e6385d39ec9394f2f3a354d9d2b88eec-Paper.pdf,sources/anchor_supplement_v2/RG73E7B805F9AD76C7.pdf,PRIMARY_PUBLISHER
RG08D4BDEF38C63D1C,BROAD_SOURCE,https://ojs.aaai.org/index.php/AAAI/article/download/16988/16795,sources/anchor_supplement_v2/RG08D4BDEF38C63D1C.pdf,PRIMARY_PUBLISHER
RG23777DF75AF056AE,BROAD_SOURCE,https://openreview.net/pdf?id=thbtoAkCe9,sources/anchor_supplement_v2/RG23777DF75AF056AE.pdf,OFFICIAL_REPOSITORY
RG4C05ABF685E44621,BROAD_SOURCE,https://arxiv.org/pdf/2210.15809,sources/anchor_supplement_v2/RG4C05ABF685E44621.pdf,OFFICIAL_REPOSITORY
RGEE7171D25C56697E,BROAD_SOURCE,https://arxiv.org/pdf/2111.12621,sources/anchor_supplement_v2/RGEE7171D25C56697E.pdf,OFFICIAL_REPOSITORY
RG9FA3C12D2147A460,BROAD_SOURCE,https://www.stat.rice.edu/~cscott/pubs/np.pdf,sources/anchor_supplement_v2/RG9FA3C12D2147A460.pdf,AUTHOR_HOSTED
RG015FC4345AA73EEF,BROAD_SOURCE,https://www.cv-foundation.org/openaccess/content_cvpr_2016/papers/Shrivastava_Training_Region-Based_Object_CVPR_2016_paper.pdf,sources/anchor_supplement_v2/RG015FC4345AA73EEF.pdf,PRIMARY_PUBLISHER
AX501F9ECF2E222F25,BROAD_SOURCE,https://proceedings.neurips.cc/paper_files/paper/2017/file/2f37d10131f2a483a8dd005b3d14b0d9-Paper.pdf,sources/anchor_supplement_v2/AX501F9ECF2E222F25.pdf,PRIMARY_PUBLISHER
AXA06EB02B84C505EE,BROAD_SOURCE,https://proceedings.neurips.cc/paper_files/paper/2024/file/7f5f9a88c6516469c83d074c6f2976fb-Paper-Conference.pdf,sources/anchor_supplement_v2/AXA06EB02B84C505EE.pdf,PRIMARY_PUBLISHER
AX9313629F9AEE4C10,BROAD_SOURCE,https://proceedings.mlr.press/v235/choi24c/choi24c.pdf,sources/anchor_supplement_v2/AX9313629F9AEE4C10.pdf,PRIMARY_PUBLISHER
AX6987DB4646B2490F,BROAD_SOURCE,https://proceedings.neurips.cc/paper_files/paper/2024/file/ed165f2ff227cf36c7e3ef88957dadd9-Paper-Conference.pdf,sources/anchor_supplement_v2/AX6987DB4646B2490F.pdf,PRIMARY_PUBLISHER
AX6B828EA30AEEF829,BROAD_SOURCE,https://openreview.net/pdf?id=HJgExaVtwr,sources/anchor_supplement_v2/AX6B828EA30AEEF829.pdf,OFFICIAL_REPOSITORY
AX79D4A4F6C4BBCA52,BROAD_SOURCE,https://openreview.net/pdf?id=SygRikHtvS,sources/anchor_supplement_v2/AX79D4A4F6C4BBCA52.pdf,OFFICIAL_REPOSITORY
AX5BBB2D6BD039C272,BROAD_SOURCE,https://proceedings.neurips.cc/paper_files/paper/2022/file/8c64bc3f7796d31caa7c3e6b969bf7da-Paper-Conference.pdf,sources/anchor_supplement_v2/AX5BBB2D6BD039C272.pdf,PRIMARY_PUBLISHER
AXA507196A9C503BF5,BROAD_SOURCE,https://proceedings.mlr.press/v162/hacohen22a/hacohen22a.pdf,sources/anchor_supplement_v2/AXA507196A9C503BF5.pdf,PRIMARY_PUBLISHER
AX5D5392D5D7F1038E,BROAD_SOURCE,https://proceedings.neurips.cc/paper_files/paper/2024/file/ff8d608f6dcebec401df78ca76617e95-Paper-Datasets_and_Benchmarks_Track.pdf,sources/anchor_supplement_v2/AX5D5392D5D7F1038E.pdf,PRIMARY_PUBLISHER
AXB4D35C6558F3F40B,BROAD_SOURCE,https://proceedings.iclr.cc/paper_files/paper/2024/file/68b8d2bc77268facfc75a78782da9559-Paper-Conference.pdf,sources/anchor_supplement_v2/AXB4D35C6558F3F40B.pdf,PRIMARY_PUBLISHER
AX650ABBBE424F1071,BROAD_SOURCE,https://proceedings.mlr.press/v202/ramasinghe23a/ramasinghe23a.pdf,sources/anchor_supplement_v2/AX650ABBBE424F1071.pdf,PRIMARY_PUBLISHER
AX60FA7026B413D57B,BROAD_SOURCE,https://openaccess.thecvf.com/content_ICCV_2017/papers/Lin_Focal_Loss_for_ICCV_2017_paper.pdf,sources/anchor_supplement_v2/AX60FA7026B413D57B.pdf,PRIMARY_PUBLISHER
